ducks_num,pucks_num,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
7,2,-4.828180109183051,4.828180109183051,1,32,1.2979110967610032,0.15786689065396786,0.8422547891736031,0.20911048531532286,1.5261255488730967,4.252027526963502,23.62323405686766,10.464120597578585,284.2513155192137,1714.9016447365284,0.9787240955047309,0.8559761377982795
9,2,0.5565275127686782,-0.5565275127686782,1,252,1.4023300773054361,0.22642045114189385,0.39831800088286395,0.14208280602359433,3.9773639023901737,1.5720729105865676,14.739939164197775,11.254404597722237,275.82162879407406,2229.340037330985,0.8407938135920301,0.7785919825892635
13,2,4.456873283710747,-4.456873283710747,35,53,1.4753334293736557,0.35754438984455655,0.7885382822767846,0.16212156312578518,2.401709063715415,3.374122578331927,18.434047403650457,8.819524664573745,340.88957607273915,1613.2675381393701,0.9197993493931343,0.6026269174794416
13,3,-7.98334960584966,7.98334960584966,9,206,1.50410789121598,0.24773605633250698,0.6318116446064083,0.24506935247425923,4.47873684654201,2.1035727556686745,24.53998423351491,17.00462660928281,204.37777783585577,1487.648804128179,0.957058958093506,0.9621213322780097
15,1,-5.621068178340765,5.621068178340765,2,142,1.373571588699341,0.24889755677431824,0.3342564509002613,0.2103763805538301,4.1560043905686515,3.618020632304251,23.09877122286707,17.433903826834438,258.0035503022373,2918.696917593479,0.7227225178848042,0.8739355774596334
18,1,3.4668153510974626,-3.4668153510974626,1,95,1.3238813569267687,0.3779356810480248,0.6326600007966316,0.27095894240425333,2.0386036457896872,3.8363249221024045,19.67516154050827,10.576426959452997,390.97938117899275,1266.6709389559255,0.6348369597258294,0.8140130697754606
18,4,-3.401870767879309,3.401870767879309,6,199,1.5025452399315893,0.3628140684320573,0.8096876694133986,0.27318030808120963,3.5284313034528223,2.934605175260854,22.18334125637037,17.145925085894902,223.26379928217963,1114.5262350777502,0.7190233676032209,0.7664632714818636
18,6,-5.533520275815086,5.533520275815086,4,57,0.9459237515795977,0.1200192130123337,0.5632755626956197,0.12132051471531484,3.4532719918246637,1.2236834224313498,17.565651308545412,10.092139184741555,328.68508007377386,2538.850587346399,0.8777115208398104,0.7087238895709277
19,5,0.21367521367521367,-0.21367521367521367,7,198,1.4291205074932678,0.22742171853997206,0.6176910724635261,0.1724156288049679,2.6953673470585637,1.9097654091601648,24.66966852092817,10.395208298035758,243.83953651793502,1108.7842360601273,0.7679121532073607,0.6509138986131885
19,6,4.54016699971175,-4.54016699971175,1,0,1.3840624438934028,0.30986287442991517,0.5961694711543689,0.12130278059362155,2.5540439696651482,1.7902040943071316,21.564997495152056,15.192976552963078,223.68713976200914,2333.662869116619,0.7552314809488682,0.7087143651356
20,3,0.21551724137931033,-0.21551724137931033,4,190,1.1513639117973586,0.38417308064761846,0.7600736163336672,0.1263735767880958,4.7004543077732945,1.2736988840601373,21.321306080854605,13.075106593661584,203.44001200661864,2088.8652525143107,0.7427695573439205,0.7180498067097326
20,5,0.20491803278688525,-0.20491803278688525,5,149,1.2398565575153229,0.260607430552972,0.8198188290246116,0.19765878398307535,2.8413556553172605,3.2639156820815183,23.91057379288034,11.359056997046233,227.192591328361,2590.5228041269065,0.711551365442574,0.6637237923657523
21,2,4.452991848192051,-4.452991848192051,25,102,1.1723634674208634,0.3569015552653717,0.7591940807338685,0.2887822698536296,1.2055298846478861,1.3228625977582085,13.259518446695278,6.937699671398134,483.7406166983899,1601.2124243721278,0.7571761937905688,0.6614848174376255
21,6,-2.3394523770452356,2.3394523770452356,5,172,1.1950951322040466,0.21522207375853913,0.6384352776723102,0.1649038038814746,1.1795993698247014,3.0611060201567364,22.736333615711484,15.998367154139027,323.693037356157,1965.199393949141,0.7150081469419325,0.5376861997279032
22,2,0.2032520325203252,-0.2032520325203252,5,102,1.1529335798436016,0.1712124316358099,0.8741997103641315,0.17356347519586174,3.7063822865467864,4.451080726459622,11.830877673509345,6.035747518762946,202.3631545237478,2265.072366034232,0.5859392918476164,0.5060823404925795
22,3,-9.126786798429062,9.126786798429062,2,74,1.3540997772498817,0.21416751411742593,0.3175135921986564,0.2670497070811689,1.9491347796283662,1.324390351419409,21.960902919255098,14.72274751868099,288.64783986799125,2084.508669971925,0.6146384282490192,0.7929052343127351
24,8,0.16556291390728478,-0.16556291390728478,1,80,0.9448007987677025,0.3061991233719612,0.8967962840571999,0.19562119866245264,4.765583941484065,2.08200083414423,13.97492885090178,9.38644539564848,394.2810755538839,1728.8980748168965,0.5593111987448804,0.8220302101873382
26,4,0.16778523489932887,-0.16778523489932887,7,143,1.3949133406778003,0.24687318640999517,0.597870037872736,0.27672469126316107,3.6201779451867635,2.3865790910866127,19.62743604285951,9.35384876992314,252.09872144358502,2162.917039341165,0.618031324803388,0.7716180607091593
28,9,0.14367816091954022,-0.14367816091954022,5,97,1.1788201153879765,0.3618541487595887,0.6217777782610509,0.22975755766432696,4.488261304368031,2.6257643094849326,18.97074493107103,9.443645284836805,224.47360458850002,1508.6006599289435,0.6938440948823743,0.590322826341694
29,2,2.8300138207250933,-2.8300138207250933,37,163,1.0867039011695494,0.32101655555801434,0.7843145697535926,0.21735031667028815,2.098552489099907,2.1066938994787523,23.445649010219455,13.544215197948633,285.3404269707428,1150.72873390138,0.7613049853508244,0.6045304726747374
29,5,2.005527745238836,-2.005527745238836,2,242,1.1023373925369233,0.25726371505799756,0.7078571552140615,0.21583137104287745,0.8760942936134131,4.409697467461228,21.033564176492543,8.810687592253089,322.67889387062763,1758.9511405676603,0.809044614737009,0.5662966497288786
29,8,4.668542051311508,-4.668542051311508,5,166,1.275300906184434,0.33924146901082497,0.7168978996118878,0.19287680720175016,0.5428922127227609,4.418658077887283,22.288805434221956,12.174232492473239,423.11516087455897,1488.5575837545746,0.5992785243448476,0.5533925049162194
30,2,2.3155060238797267,-2.3155060238797267,20,163,1.0867039011695494,0.2809185260643037,0.6635287661891934,0.11496177644466463,0.9196276372492691,2.3880071623893593,21.17080728247344,13.544215197948633,285.3404269707428,1582.8033439782312,0.7517802697850406,0.7355456724345502
30,4,0.14792899408284024,-0.14792899408284024,4,124,1.1543136002164296,0.293858561213764,0.7111703947073863,0.08900969078533545,4.187285433670118,2.4479180114533383,24.53054335853181,12.294096515338902,241.83736634135562,1387.7844352271704,0.7013642340748619,0.5832056981434413
30,10,2.6402531251600765,-2.6402531251600765,8,124,1.4055566017117422,0.33964085456257836,0.7111703947073863,0.08900969078533545,4.71975685629738,1.7903743127775333,22.22615518390705,17.416264459602562,241.83736634135562,2505.144582043426,0.7276213913489074,0.537335651681004
31,2,4.3809937892714625,-4.3809937892714625,40,163,1.342892651286777,0.3599319570625386,0.7843145697535926,0.20854769088039865,2.098552489099907,3.8339506584714336,22.463151192077337,10.152499511604137,391.48288165642117,1150.72873390138,0.6915580021815725,0.5005701133743332
31,3,-6.65138322113099,6.65138322113099,1,195,1.3602828849353306,0.321660100556439,0.5463106948882341,0.268786607182794,4.763878898322892,3.643102307416399,21.72153599756664,14.688347555696964,204.33572338880248,2363.4007565686106,0.75417765509605,0.962060091085732
31,4,-6.3029813874831735,6.3029813874831735,1,217,0.9152247626390309,0.27969943154603244,0.7620371041819454,0.24056067189201713,3.447371623944491,4.090190111659467,19.073520014062524,9.462150066159666,280.9467373415828,2070.8053670823574,0.9610537155531347,0.9909682059660554
31,7,4.539387274261422,-4.539387274261422,17,238,1.2594155678221104,0.37589627520957225,0.8192175240795608,0.24479003920817266,3.8643311827590274,3.8997003815324938,15.310406250012832,10.126497987123757,376.2472758606133,2414.7283681035096,0.8373089782848665,0.5682582485258998
