ducks_num,pucks_num,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
4,1,0.8333333333333334,-0.8333333333333334,3,390,1.4756458754089772,0.26028785288333894,0.7420343481029836,0.10828619983047248,4.082157847749661,2.2762946578035264,13.066592163261522,7.832713858658044,222.60816337425922,1319.152289283013,0.5094734858721495,0.9247302626104047
6,2,2.325198964683356,-2.325198964683356,4,85,1.307459962680216,0.20775841817259788,0.7967384665830791,0.23906110153794002,2.039617467301302,3.6563059072950685,22.366506005637348,12.541119530695315,253.82190314697374,1327.4252534404081,0.9794495459645987,0.9629376093184541
7,2,4.959272932245591,-4.959272932245591,56,212,1.5161210878568079,0.39587272645965765,0.8381302080070117,0.25092110656603106,1.5642454662090706,4.138202457259926,17.1184938833475,10.221624314423892,420.2860101455526,1106.7062533712067,0.9041931786053223,0.8155870997768515
8,1,-6.147429352398824,6.147429352398824,5,26,1.2542600374753488,0.39675303606962997,0.48468097742953153,0.12271884180141819,0.8299497375336282,3.4097641386018362,18.826351262009435,12.402148465518689,383.0689883208123,2470.323825359936,0.8793921193238388,0.7782262960650328
9,3,4.677199474758819,-4.677199474758819,5,464,1.1734771202773409,0.3936396922115887,0.5235461908118899,0.10260204214750458,0.583913671009503,3.568780672466265,18.48929948064378,11.211460014206583,303.3219748717567,2545.0384372325734,0.9429895470530169,0.7967747252828736
10,1,4.485828362280874,-4.485828362280874,1,0,1.0498998588100077,0.36449974186718465,0.7480290412902832,0.10651209300383926,4.9961505564861,4.485439569689333,14.358544386923313,10.789276131428778,398.6370872706175,1471.976051107049,0.8948963256552815,0.9184835711494088
10,3,4.7933991519735315,-4.7933991519735315,16,402,1.2533307165564511,0.35171627863048455,0.6267533742777894,0.08985241806728837,1.3056448971051262,2.443659441253476,12.128166717778411,8.398479511238754,461.7896083293906,2034.502019672195,0.7876922591674784,0.7979485773409415
11,1,4.491977562676654,-4.491977562676654,3,92,0.9373451346961014,0.35132198900865574,0.8521084699006365,0.0811358849034901,4.35180027037859,1.8722330537938507,10.764544085439852,7.871070812093513,430.74169660626114,1402.4521323777403,0.9493577091966021,0.5291369196843649
11,2,0.576796979663257,-0.576796979663257,6,52,1.4522394434817258,0.35661024072049907,0.5885606017850665,0.12330606998875739,2.437033062386033,2.982733988728907,15.544335592445712,12.190761713959999,267.49719374692063,2912.296814486322,0.8956586799864985,0.955843992948334
11,3,0.352112676056338,-0.352112676056338,2,487,1.0158457247922401,0.1392016741960702,0.6811756080963783,0.085456208606408,4.65235212340846,4.046914138303446,16.385660404739752,8.146628201007843,486.53904129930885,1162.8048490642018,0.9218502304212557,0.9087220161021936
12,1,4.596351493832019,-4.596351493832019,75,173,1.2555019383475154,0.3896609459303903,0.732685685315349,0.2263781028726066,0.5340796644443393,2.8553882061472797,17.92089710552502,11.164959781428502,329.0027480257608,2213.2270338925628,0.6964124199556919,0.9164346296207173
12,3,-9.671052631578947,9.671052631578947,8,88,1.255138978221579,0.31718901306836306,0.7161008459435988,0.2564868426401447,4.6000459272354846,2.9689810257973273,22.013412614337014,15.52502579274579,390.18735472433855,1941.96859894196,0.8582066375459696,0.9651610239078173
12,4,4.7385627387030835,-4.7385627387030835,51,88,1.3984855562495893,0.3722364431159977,0.7085677977965167,0.28307113360627917,1.087296687415888,3.9191956990105554,20.939650366892117,10.201070653927232,365.46507087150076,1192.2669350303977,0.8630800972629629,0.7736772989227715
13,1,2.099880067750708,-2.099880067750708,10,222,1.2726200443825615,0.36477030443678304,0.5911014805303415,0.11035124416919329,2.426395191175404,3.4297172420725315,19.143673924914705,12.745432202259217,356.940187406739,1422.6659389371162,0.6017298680587362,0.6489472848928531
13,2,0.4339423499327326,-0.4339423499327326,1,63,1.1278306663286806,0.30074309143489597,0.4390890978276729,0.1378314941760581,4.704104828725692,4.385083611068843,19.008128331042826,11.413782950861432,402.25376430701016,2892.848553135991,0.7305727929766721,0.5689348439592812
