model,split,quantity,mae,rmse,bias,p95_absolute_error,max_absolute_error,correlation,sign_agreement,false_pass,false_rejection
current,train,CLa,0.47414774172366986,0.6954879127190003,0.25623006193304687,1.5711004078815691,2.3016935947843824,0.2918993651241209,1.0,0,0
current,train,Cma,0.9807517518964514,1.3692047023229157,-0.9047933013015331,2.4920368713399306,5.2096433267686155,0.7100835069563421,0.6952380952380952,32,0
current,train,Cnb,0.16695160524640482,0.20735343805595136,0.14322046109107014,0.37373456456353477,0.5957597670166062,0.3007256389740052,0.6571428571428571,33,3
current,grouped_cv,CLa,0.47414774172366986,0.6954879127190003,0.25623006193304687,1.5711004078815691,2.3016935947843824,0.2918993651241209,1.0,0,0
current,grouped_cv,Cma,0.9807517518964514,1.3692047023229157,-0.9047933013015331,2.4920368713399306,5.2096433267686155,0.7100835069563421,0.6952380952380952,32,0
current,grouped_cv,Cnb,0.16695160524640482,0.20735343805595136,0.14322046109107014,0.37373456456353477,0.5957597670166062,0.3007256389740052,0.6571428571428571,33,3
current,holdout,CLa,0.3489087866011048,0.3952606482277616,0.12770037497238013,0.7488656019452891,0.8064570384472711,0.8388863686105652,1.0,0,0
current,holdout,Cma,0.7071999073978945,0.8278610580889816,-0.6305252291729315,1.5196340200786358,1.6238101464578731,0.9434034514104711,0.8,9,0
current,holdout,Cnb,0.1308326631336569,0.1566084729491854,0.1164566492310892,0.27280847328601676,0.32147564477902446,0.24343632859338604,0.6666666666666666,14,1
unrestricted_refit,train,CLa,0.4336387159716847,0.554107584402675,1.5099033134902129e-15,1.0423105476931145,1.3117854419155912,0.2918993651241217,1.0,0,0
unrestricted_refit,train,Cma,0.5645851768713069,0.8863877895006229,-1.5437386818597414e-16,1.3445253140128774,4.269530908407296,0.7100835069563425,0.8,9,12
unrestricted_refit,train,Cnb,0.07956769657863048,0.10861384730035484,1.928880335878516e-15,0.2628744022627153,0.31821207926910877,0.6861764398668877,0.9333333333333333,0,7
unrestricted_refit,grouped_cv,CLa,0.45444487669693245,0.583334230128484,-0.001228590855698929,1.0372421603009598,1.5833629310623825,0.13458402256052068,1.0,0,0
unrestricted_refit,grouped_cv,Cma,0.5666618811268599,0.893932247621558,-0.0004350813115164239,1.3544478693625175,4.3093348227503405,0.7041133709668771,0.8,9,12
unrestricted_refit,grouped_cv,Cnb,0.09206339594621558,0.12339729991541079,0.0033735276831011094,0.25726673234534964,0.35362762803482395,0.5756205038346586,0.9047619047619048,3,7
unrestricted_refit,holdout,CLa,0.44904999908390636,0.5816001418237714,-0.2146156397896128,1.2031484769173688,1.2593742215612052,0.8388863686105658,1.0,0,0
unrestricted_refit,holdout,Cma,0.3355173864229265,0.42005037362712916,0.2894754723807164,0.7422146342723341,0.7879593292934344,0.9434034514104711,0.8666666666666667,0,6
unrestricted_refit,holdout,Cnb,0.0892281933916724,0.10027631720453264,-0.005917520299254164,0.15998358623441786,0.1629909153380647,0.45499057898199063,0.8888888888888888,3,2
coupled_simple,train,CLa,0.4031023954277184,0.5637630511873837,-0.02343303205653693,1.0631264473599455,1.6213055589186092,0.33759350549097245,1.0,0,0
coupled_simple,train,Cma,0.21311800376910567,0.2645913510848344,-0.002333409122853133,0.5412400181861714,0.7691603516007381,0.9776653760649272,0.9428571428571428,5,1
coupled_simple,train,Cnb,0.008418936646954913,0.011217416758363942,-1.418324815859224e-05,0.022042848819234576,0.026976920038467467,0.9971739080230339,0.9714285714285714,1,2
coupled_simple,grouped_cv,CLa,0.4067488567590501,0.5726765894211571,-0.02107604461359598,1.0893400458280527,1.6647121240649168,0.3083826206041867,1.0,0,0
coupled_simple,grouped_cv,Cma,0.24505428617764197,0.3099588676225431,-0.012568825639099362,0.6044562693397899,0.962774407246799,0.969304987310558,0.9523809523809523,4,1
coupled_simple,grouped_cv,Cnb,0.009511349260432277,0.013138238027024155,0.000366494909392489,0.024785120947443433,0.04166374057557365,0.9961755184433347,0.9714285714285714,1,2
coupled_simple,holdout,CLa,0.350225470418639,0.46372547237062794,-0.18789869606640833,0.9246867426928672,0.9325804721484685,0.839761953535215,1.0,0,0
coupled_simple,holdout,Cma,0.3246670924176947,0.40087164917968204,0.12368642872751454,0.9343175684488509,1.0006436649039832,0.9163847309570256,0.8444444444444444,2,5
coupled_simple,holdout,Cnb,0.007193905238316007,0.009911495340596424,0.004717072775478801,0.023553824286071265,0.0324779729879905,0.9939613341606857,0.9777777777777777,1,0
coupled_enriched,train,CLa,0.3472908198157816,0.3849901683198172,-0.016359423169954805,0.6811314846436753,0.762411246470327,0.7562729501570521,1.0,0,0
coupled_enriched,train,Cma,0.18379423486703378,0.22565925899414493,-0.0006907222409796946,0.4065064856549062,0.6280800498187438,0.9838037207509405,0.9714285714285714,2,1
coupled_enriched,train,Cnb,0.008418936646954913,0.011217416758363942,-1.418324815859224e-05,0.022042848819234576,0.026976920038467467,0.9971739080230339,0.9714285714285714,1,2
coupled_enriched,grouped_cv,CLa,0.36155178272259025,0.40357825720511786,-0.017456131421910714,0.6928613864056722,0.7969738159374611,0.7303549065883406,1.0,0,0
coupled_enriched,grouped_cv,Cma,0.21767695264332948,0.2678606628671958,-0.008938652793009155,0.5340212987892476,0.7423471798278456,0.9771539948513397,0.9714285714285714,2,1
coupled_enriched,grouped_cv,Cnb,0.009511349260432277,0.013138238027024155,0.000366494909392489,0.024785120947443433,0.04166374057557365,0.9961755184433347,0.9714285714285714,1,2
coupled_enriched,holdout,CLa,0.38085462986379576,0.4360286367894395,-0.11489670263168167,0.6600365878025961,0.6710238099712464,0.7892318737808997,1.0,0,0
coupled_enriched,holdout,Cma,0.30374007215791937,0.3603581833161772,0.10709845725684798,0.7678305054886524,0.8243760355313741,0.9302312200431195,0.8666666666666667,2,4
coupled_enriched,holdout,Cnb,0.007193905238316007,0.009911495340596424,0.004717072775478801,0.023553824286071265,0.0324779729879905,0.9939613341606857,0.9777777777777777,1,0
reference_current_lift,train,CLa,0.47414774172366986,0.6954879127190003,0.25623006193304687,1.5711004078815691,2.3016935947843824,0.2918993651241209,1.0,0,0
reference_current_lift,train,Cma,0.20639567697817313,0.26858285253859654,1.3333249848117356e-15,0.5703652435242543,0.7678542048386695,0.9772896428061855,0.9619047619047619,3,1
reference_current_lift,train,Cnb,0.008418936646954913,0.011217416758363942,-1.418324815859224e-05,0.022042848819234576,0.026976920038467467,0.9971739080230339,0.9714285714285714,1,2
reference_current_lift,grouped_cv,CLa,0.47414774172366986,0.6954879127190003,0.25623006193304687,1.5711004078815691,2.3016935947843824,0.2918993651241209,1.0,0,0
reference_current_lift,grouped_cv,Cma,0.24932030797545554,0.32995041904380656,-0.017455476137895193,0.6693187231853786,1.141557174867562,0.9651945167274809,0.9428571428571428,5,1
reference_current_lift,grouped_cv,Cnb,0.009511349260432277,0.013138238027024155,0.000366494909392489,0.024785120947443433,0.04166374057557365,0.9961755184433347,0.9714285714285714,1,2
