design_id,split,cg_offset_mac,cg_x,cg_z,mass,velocity,alpha,elevator,wing_span,wing_chord,tail_arm,nose_length,fuselage_width,fuselage_height,wing_area,hstab_area,hstab_chord,vstab_area,vstab_chord,body_length,body_volume,body_x,wing_re,coarse_seconds,full_seconds,old_CLa,full_CLa,old_Cma,full_Cma,old_Cnb,full_Cnb,old_CYb,full_CYb,full_CDa,old_CL,full_CL,old_CD,full_CD,new_CLa,new_Cma,new_Cnb
0.0,train,-0.2,0.018554093883997334,-0.05764756677743508,9.117550510420624,34.39882220975537,4.8560650407825126,2.4044582602689477,1.181,0.307,0.845,0.254,0.127,0.13,0.36256700000000003,0.0658627627218935,0.14816968057140154,0.018242483517159763,0.14316833620319383,1.2471696805714014,0.01253783672765618,0.18582267191988822,722961.3686274099,0.20721910009160638,0.5229764999821782,4.535173194964604,4.876804053299975,-1.8802257123109603,-2.4714731642178362,-0.12701591344347035,-0.010654415525660542,-0.09747501739481207,-0.0309874793785676,0.6709828851940906,0.34024272985789455,0.6375562611976245,0.03126931160988215,0.05589465549381565,4.41064968415452,-2.2872260869958225,0.00011227121318706929
0.0,train,0.0,0.07995409388399734,-0.05764756677743508,9.117550510420624,34.39882220975537,4.8560650407825126,2.4044582602689477,1.181,0.307,0.845,0.254,0.127,0.13,0.36256700000000003,0.0658627627218935,0.14816968057140154,0.018242483517159763,0.14316833620319383,1.2471696805714014,0.01253783672765618,0.18582267191988822,722961.3686274099,0.0015750001184642315,0.4517256000544876,4.535173194964604,4.876804053299975,-1.4621393314749564,-1.5069032741811423,-0.061832366568245645,-0.013016969079231432,-0.09747501739481207,-0.0309874793785676,0.6709828851940906,0.34024272985789455,0.6375562611976245,0.03126931160988215,0.05589465549381565,4.41064968415452,-1.4082625539983848,-0.003935766452755118
0.0,train,0.2,0.14135409388399733,-0.05764756677743508,9.117550510420624,34.39882220975537,4.8560650407825126,2.4044582602689477,1.181,0.307,0.845,0.254,0.127,0.13,0.36256700000000003,0.0658627627218935,0.14816968057140154,0.018242483517159763,0.14316833620319383,1.2471696805714014,0.01253783672765618,0.18582267191988822,722961.3686274099,0.0030280998907983303,0.38020949997007847,4.535173194964604,4.876804053299975,-1.0440529506389529,-0.5423333841420631,0.0033511803069789514,-0.015379522632884305,-0.09747501739481207,-0.0309874793785676,0.6709828851940906,0.34024272985789455,0.6375562611976245,0.03126931160988215,0.05589465549381565,4.41064968415452,-0.5292990210009478,-0.007983804118697292
1.0,train,-0.2,0.025808560073266394,-0.1372406281867391,59.47526626299106,40.04573589099853,-0.14623529671160518,-7.1441529378181645,1.4316540351566807,0.2255586716806398,0.6131206371667872,0.10184796750409847,0.381,0.254,0.3229219824761689,0.05939928376932892,0.14071162445385588,0.02714515076512326,0.17464297695302522,0.889611581623911,0.04331203372786139,0.1382573644031072,618370.7666105758,0.001311599975451827,0.3404530000407249,5.431003989150993,5.0517804324194175,-1.8149705862237528,-1.2230249093613184,-0.04573520030478955,-0.12846906491259696,-0.13370245398968714,-0.14153171852390217,0.036688573766342096,1.838706123974709,0.12335481744746962,0.21946986481108016,0.02062874960846877,5.3303043552837535,-1.3648130349736678,-0.12419157528240565
1.0,train,0.0,0.07092029440939436,-0.1372406281867391,59.47526626299106,40.04573589099853,-0.14623529671160518,-7.1441529378181645,1.4316540351566807,0.2255586716806398,0.6131206371667872,0.10184796750409847,0.381,0.254,0.3229219824761689,0.05939928376932892,0.14071162445385588,0.02714515076512326,0.17464297695302522,0.889611581623911,0.04331203372786139,0.1382573644031072,618370.7666105758,0.0005880000535398722,0.32529549999162555,5.431003989150993,5.0517804324194175,-1.3385082225835232,-0.2086540160082806,0.020268748043278047,-0.1335485841503586,-0.13370245398968714,-0.14153171852390217,0.036688573766342096,1.838706123974709,0.12335481744746962,0.21946986481108016,0.02062874960846877,5.3303043552837535,-0.2987556361664503,-0.12829056163436547
1.0,train,0.2,0.11603202874552232,-0.1372406281867391,59.47526626299106,40.04573589099853,-0.14623529671160518,-7.1441529378181645,1.4316540351566807,0.2255586716806398,0.6131206371667872,0.10184796750409847,0.381,0.254,0.3229219824761689,0.05939928376932892,0.14071162445385588,0.02714515076512326,0.17464297695302522,0.889611581623911,0.04331203372786139,0.1382573644031072,618370.7666105758,0.0007387998048216105,0.27190689998678863,5.431003989150993,5.0517804324194175,-0.8620458589432941,0.805716877343167,0.08627269639134547,-0.13862810338810444,-0.13370245398968714,-0.14153171852390217,0.036688573766342096,1.838706123974709,0.12335481744746962,0.21946986481108016,0.02062874960846877,5.3303043552837535,0.7673017626407668,-0.1323895479863253
2.0,train,-0.2,0.018458738142370548,-0.1322879992194484,36.00839453116938,27.18565321019007,6.923297678681921,-3.800174078376318,0.9415898536719947,0.16956150343237958,0.7891125990756277,0.16182511559962814,0.381,0.254,0.1596573912052977,0.017153285423762023,0.07561588330450603,0.006858265946779894,0.08778335146333109,1.0387210661385868,0.046120191674215494,0.09741241828746808,315573.243989205,0.0012686001136898994,0.2872738998848945,4.909078438103798,4.197378894586327,-1.8073406600770074,0.1610044778700238,-0.1703396092405672,-0.5268609495802374,-0.08957531994302151,-0.059256547735539976,0.5578746796419353,4.8856379414105895,0.8138522918961042,1.6296788937471416,0.081343412703789,5.430063979368379,0.08899601546802138,-0.5384737126271051
2.0,train,0.0,0.052371038828846465,-0.1322879992194484,36.00839453116938,27.18565321019007,6.923297678681921,-3.800174078376318,0.9415898536719947,0.16956150343237958,0.7891125990756277,0.16182511559962814,0.381,0.254,0.1596573912052977,0.017153285423762023,0.07561588330450603,0.006858265946779894,0.08778335146333109,1.0387210661385868,0.046120191674215494,0.09741241828746808,315573.243989205,0.0005841997917741537,0.2710398000199348,4.909078438103798,4.197378894586327,-1.3648890908755746,0.9831415457025043,-0.13178781432479705,-0.5302180296958968,-0.08957531994302151,-0.059256547735539976,0.5578746796419353,4.8856379414105895,0.8138522918961042,1.6296788937471416,0.081343412703789,5.430063979368379,1.1670900509447906,-0.5408678615402879
2.0,train,0.2,0.08628333951532238,-0.1322879992194484,36.00839453116938,27.18565321019007,6.923297678681921,-3.800174078376318,0.9415898536719947,0.16956150343237958,0.7891125990756277,0.16182511559962814,0.381,0.254,0.1596573912052977,0.017153285423762023,0.07561588330450603,0.006858265946779894,0.08778335146333109,1.0387210661385868,0.046120191674215494,0.09741241828746808,315573.243989205,0.0005681000184267759,0.26407779986038804,4.909078438103798,4.197378894586327,-0.9224375216741418,1.8052786135318042,-0.09323601940902687,-0.5335751098115685,-0.08957531994302151,-0.059256547735539976,0.5578746796419353,4.8856379414105895,0.8138522918961042,1.6296788937471416,0.081343412703789,5.430063979368379,2.2451840864215598,-0.5432620104534707
3.0,train,-0.2,0.01965991081394124,-0.15297751243367344,79.31333795709443,21.303819138180042,1.995807174897025,5.603297881500023,1.2427165756172927,0.13599407004187708,0.48551245740559257,0.08723435281749484,0.381,0.254,0.16900208502669972,0.02366909544521146,0.08882397470129982,0.015572784611868475,0.13227815692642614,0.7050249671495135,0.0316792593057909,0.08601843765895259,198340.12429724255,0.0010395999997854233,0.24451839993707836,5.776255204541765,5.775236921761681,-1.7616896084826807,-0.04022546195396176,-0.08384702668264346,-0.21418871110222432,-0.1423813706016359,-0.2194414753040404,0.2507754283481467,16.55485294974042,0.514727259641816,11.251292476670947,0.044614589837749,5.7079287960687815,0.07694745528922109,-0.2350125618041918
3.0,train,0.0,0.04685872482231666,-0.15297751243367344,79.31333795709443,21.303819138180042,1.995807174897025,5.603297881500023,1.2427165756172927,0.13599407004187708,0.48551245740559257,0.08723435281749484,0.381,0.254,0.16900208502669972,0.02366909544521146,0.08882397470129982,0.015572784611868475,0.13227815692642614,0.7050249671495135,0.0316792593057909,0.08601843765895259,198340.12429724255,0.0004702999722212553,0.23009540000930429,5.776255204541765,5.775236921761681,-1.2627292696181298,1.116984402860826,-0.03359241567135946,-0.2197090511673634,-0.1423813706016359,-0.2194414753040404,0.2507754283481467,16.55485294974042,0.514727259641816,11.251292476670947,0.044614589837749,5.7079287960687815,1.2178407037400587,-0.23813348062516917
3.0,train,0.2,0.07405753883069208,-0.15297751243367344,79.31333795709443,21.303819138180042,1.995807174897025,5.603297881500023,1.2427165756172927,0.13599407004187708,0.48551245740559257,0.08723435281749484,0.381,0.254,0.16900208502669972,0.02366909544521146,0.08882397470129982,0.015572784611868475,0.13227815692642614,0.7050249671495135,0.0316792593057909,0.08601843765895259,198340.12429724255,0.0004932000301778316,0.2705945000052452,5.776255204541765,5.775236921761681,-0.763768930753579,2.274194267674024,0.01666219533992465,-0.22522939123250252,-0.1423813706016359,-0.2194414753040404,0.2507754283481467,16.55485294974042,0.514727259641816,11.251292476670947,0.044614589837749,5.7079287960687815,2.3587339521908963,-0.24125439944614657
