epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,6.415491197267365,-6.415491197267365,False,0,1.3652646402753823,0.3677570902163767,0.7345325093944185,0.22593306990587342,0.0,0.3839539703677103,12.411975477398919,11.376497543217676,2.6734549936334417,21.421909621270647,9.321537108395972,390.2796675852685,2693.355547176171,0.7205384610873388,0.6440364442335693,8.0
1,1,7.123248711438599,-7.123248711438599,False,0,1.8156125725933867,0.3440437582305947,0.7368138221965093,0.27052736742211586,0.0,0.5657056880298377,15.535453938530434,9.83979111172949,3.4278480313092268,23.558586792914777,13.962070188200904,308.71525060348927,1769.4057008045293,0.9989582895866391,0.7862057410092639,6.0
1,2,6.866277536227751,-6.866277536227751,False,0,1.600563370257758,0.38603259737981455,0.6135496218221015,0.08857633216644234,0.0,0.5097417299092326,15.64690439939517,12.815078831372087,2.466350213390539,16.44620230902948,12.120173630422666,460.5959682886754,1839.1905422049792,0.8286088421864093,0.6512182418657866,6.0
1,3,6.79232765767981,-6.79232765767981,False,0,1.6797185341823813,0.3479346069538966,0.7826453225756296,0.19995714335245648,0.0,0.5112901137112967,14.402771530106506,7.339922042240722,2.99098129830966,21.38174064773757,11.13245650981937,291.44111843779683,1307.6110687106848,0.8801768306574079,0.8035601117750719,8.0
1,4,5.728602956566231,-5.728602956566231,False,0,1.6295543780708577,0.28207536287337504,0.676468676568998,0.1993202583398573,0.0,0.58143612925474,6.968060899647717,5.8106105299952215,4.396896986153399,20.671785683371127,14.468324930891825,460.03863938671316,2949.370067409429,0.5919150737704195,0.7352287640745746,6.0
1,5,6.507056487851209,-6.507056487851209,False,0,1.5042001250535377,0.3658886649217572,0.738784559030268,0.10849210983164889,0.0,0.4721971805944105,14.573961788293996,2.141478835532549,3.0588156372475797,24.44901995416222,14.160249841852131,278.0704148670611,1800.2825485182452,0.8013636025243914,0.6395870960978646,8.0
2,0,7.051847722980721,-7.051847722980721,False,0,1.7146669814653166,0.3869200731324819,0.6218149230675786,0.10532648342763307,0.0,0.4822635144456451,14.393613515252675,13.960050762996783,2.992368896871974,21.43617998204416,10.079075007471914,372.65329994327845,2982.4051949626623,0.7542686979058095,0.653518971136417,8.0
2,1,7.123248711438599,-7.123248711438599,False,0,1.8156125725933867,0.3440437582305947,0.7368138221965093,0.27052736742211586,0.0,0.5657056880298377,15.535453938530434,9.83979111172949,3.4278480313092268,23.558586792914777,13.962070188200904,308.71525060348927,1769.4057008045293,0.9989582895866391,0.7862057410092639,6.0
2,2,6.899506809512438,-6.899506809512438,False,0,1.6772229240537773,0.3077085834758913,0.7320300142449271,0.13980901140999266,0.0,0.48872025538208075,14.42844265314934,13.585792353364859,2.3254626240634004,21.604925978787904,11.785610055261321,372.40435164421797,1725.316708064909,0.8510870423893586,0.7463964457109761,6.0
2,3,6.954648227158488,-6.954648227158488,False,0,1.7257028432394184,0.3390889509764876,0.7522140633358065,0.20092170709927193,0.0,0.46667438882621187,14.783693078872723,8.200073261717305,2.9484034804126042,24.073395863646947,14.35485458875123,237.09428806981035,1804.058995936877,0.8348627044506418,0.8309784372581601,8.0
2,4,6.783413233822946,-6.783413233822946,False,0,1.5710230353783785,0.39575387695947434,0.6317552576379987,0.20504341073819457,0.0,0.48441372384475356,13.940847933412222,6.010949521575357,3.393737778821038,14.459714026213733,9.875154349678624,491.9466375328383,2030.818581562936,0.9674330409616232,0.8153063971421528,6.0
2,5,6.700385168136748,-6.700385168136748,False,0,1.7618469148192177,0.3766829304791094,0.7324895933505614,0.16900695003803448,0.0,0.5300446922334554,15.828073437114845,2.552329034809807,3.2991994758149863,22.420230316437067,16.721906494174718,215.40379108194176,1783.6559718959966,0.8668433954377596,0.7746278865165844,8.0
3,0,7.147637804151257,-7.147637804151257,False,0,1.6792121712163923,0.37018523577173407,0.4116369302057302,0.16336919832344599,0.0,0.5658346886820044,15.59560437994797,13.344440866869583,1.9802545235433022,24.615596428023313,15.004468836547778,224.97046769137557,2772.466106686013,0.9010456483959084,0.7469323147765721,8.0
3,1,7.179904681345944,-7.179904681345944,False,0,1.7324345367407301,0.3767620466640927,0.4445914931738945,0.1184000034133884,0.0,0.4709107213612944,13.794262168225728,12.875879365737658,4.1749980453251405,21.522082334711733,10.786058175021024,395.1490775482898,2221.2090017477153,0.963234596543835,0.8668258236835564,6.0
3,2,7.0250712023113575,-7.0250712023113575,False,0,1.6288935608077233,0.36067353150278547,0.7610547839615989,0.16250618929037458,0.0,0.5061528857747635,14.261401484747598,11.127751424737966,2.290454120158867,16.741310278988102,9.146069464718371,439.50944198468846,1629.238550984874,0.72744204994055,0.6608269410832457,8.0
3,3,7.213044166637623,-7.213044166637623,False,0,1.7090511328342366,0.3445079797506333,0.5461582780563403,0.2198292419390645,0.0,0.47139747792578407,15.757979910029267,11.08759642642816,3.349923759754121,17.49698922628552,13.99482188168869,313.3841711785293,2511.7533567359515,0.9370556091301795,0.9292069735848169,6.0
3,4,7.207440333521346,-7.207440333521346,False,0,1.750044620909705,0.35365102645083013,0.4756621851116023,0.25661904224431287,0.0,0.5997522247283611,15.34281083029637,11.111672460053875,3.640683984217949,18.873219094137568,10.363023040410837,420.3308624059087,1462.4704487006243,0.9380099329721885,0.8515744334592741,6.0
3,5,6.953393702052435,-6.953393702052435,False,0,1.7638249456017976,0.2995961868069547,0.6708959131959893,0.29338535877950644,0.0,0.5984996704178205,15.870726719714714,6.584063662827097,3.2484154414827873,19.150608544975547,8.791948481963562,452.3082082284567,2903.4092815164904,0.8195913549574696,0.6548727557451215,8.0
4,0,7.147637804151257,-7.147637804151257,False,0,1.6792121712163923,0.37018523577173407,0.4116369302057302,0.16336919832344599,0.0,0.5658346886820044,15.59560437994797,13.344440866869583,1.9802545235433022,24.615596428023313,15.00446883654778,224.97046769137557,2772.466106686013,0.9010456483959084,0.7469323147765721,8.0
