generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,1024,30.642617299992708,33.417510977440024,2543.337235899395,nan,0.7890625,3.349894616295537,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
2,0,1536,36.30516049999278,42.30803496930706,1996.7838274996031,nan,0.8203125,3.667997330096008,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
3,0,2048,42.852756299995235,47.791558276036206,1756.9630082998046,nan,0.841796875,3.7897316222618067,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
4,0,2560,48.18185429999721,53.13203564272428,1570.728450179909,nan,0.861328125,3.8364574228771504,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
5,0,3072,53.037704100002884,57.92105921869708,1432.0180107000779,nan,0.87890625,4.0336374246525395,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
6,0,3584,60.46663690000423,59.27235552933074,1390.7326487000973,nan,0.888671875,4.32859372889691,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
7,0,4096,68.34790039999643,59.92868802155938,1366.9580079999287,nan,0.8984375,4.810858620221348,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
8,0,4608,76.19250010000542,60.47839346329144,1346.0675017667625,nan,0.923828125,5.171077719041875,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
9,0,5120,82.20243079999636,62.28526273702634,1298.7984066399424,nan,0.931640625,5.3590909886274645,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
10,0,5632,91.46665159999975,61.5743541660381,1305.4785728363602,nan,0.9453125,5.582613609911841,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
11,1,6656,133.79756199999247,49.74679583474305,1595.278623846064,nan,0.79296875,2.9417503258993656,9.99303866337425,-9.99303866337425,4.753042511925502,1.7048720668509918,0.1547165771432319,0.541337004997154,0.2090376477987206,0.0,0.19961610916323552,0.1432685013457201,1.7579611407054472,0.7284639804473301,1.5254056891388952,14.0,10.0,22.0,10.0,367.1923411998872,2107.8176919777625,34.29036415519218
12,1,7168,142.0853150000039,50.44856324525728,1562.938465000043,nan,0.8203125,3.2146798808833306,9.99303866337425,-9.99303866337425,4.753042511925502,1.7048720668509918,0.1547165771432319,0.541337004997154,0.2090376477987206,0.0,0.19961610916323552,0.1432685013457201,1.7579611407054472,0.7284639804473301,1.5254056891388952,14.0,10.0,22.0,10.0,367.1923411998872,2107.8176919777625,34.29036415519218
13,1,7680,147.70996989999549,51.99378217461972,1506.6416929799539,nan,0.841796875,3.3096128807708003,9.99303866337425,-9.99303866337425,4.753042511925502,1.7048720668509918,0.1547165771432319,0.541337004997154,0.2090376477987206,0.0,0.19961610916323552,0.1432685013457201,1.7579611407054472,0.7284639804473301,1.5254056891388952,14.0,10.0,22.0,10.0,367.1923411998872,2107.8176919777625,34.29036415519218
14,1,8192,159.23792129999492,51.44503227071617,1512.7602523499518,nan,0.86328125,3.461057655453322,9.99303866337425,-9.99303866337425,4.753042511925502,1.7048720668509918,0.1547165771432319,0.541337004997154,0.2090376477987206,0.0,0.19961610916323552,0.1432685013457201,1.7579611407054472,0.7284639804473301,1.5254056891388952,14.0,10.0,22.0,10.0,367.1923411998872,2107.8176919777625,34.29036415519218
15,1,8704,169.86919260000286,51.23942644794706,1508.838122505908,nan,0.875,3.5430972325477925,5.8561754072375365,-5.8561754072375365,4.753042511925502,1.3090538951842718,0.2794758400321007,0.8693737672688651,0.16110714389083336,1.0,0.4596729825915575,0.14721632437928833,1.1524196467729553,0.5586984519447711,2.1561610000580025,19.0,10.0,20.0,11.0,264.5254522097735,1339.9239260306626,34.22391525337984
16,1,9216,186.22285099999863,49.48909304368919,1551.8570916666552,nan,0.91015625,4.109204690781417,-5.525255628158156,5.525255628158156,5.525255628158156,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.0,12.0,13.0,10.0,304.18680655765274,1439.2324961404997,21.04464690230905
