epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,4.753042511925502,-4.753042511925502,False,0,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,9.652037646935723,17.521943529596413,12.0,535.8149940516166,1434.439891504314,24.640326199749147
1,1,5.525255628158156,-5.525255628158156,False,0,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.286196609825467,12.08102985795762,13.269383594087477,9.82189034071003,304.18680655765274,1439.2324961404997,21.04464690230905
1,2,-2.1275356462593873,2.1275356462593873,False,0,1.0450495813714278,0.21425917010754347,0.5103717863559722,0.2327191774540567,0.0,0.2342836884978013,0.08178327632620931,0.20009150310626467,0.10279515399059846,1.944193413786733,15.0,10.0,16.0,12.427936985300864,270.4092449189809,2610.3661190718412,19.562478391249417
1,3,5.540619515263685,-5.540619515263685,False,0,1.827604520040583,0.31816619773152977,0.4926861870733135,0.21366463657468554,0.0,0.24896663068398603,0.0701792999820606,6.241604169292415,2.955181214173372,2.373009978353701,20.0,15.477720285595185,22.894884623525815,17.55953633824942,261.56960856006003,2274.6033605553453,28.675801568027303
1,4,-4.589782524808126,4.589782524808126,False,0,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
1,5,-5.258853886408005,5.258853886408005,False,0,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
2,0,4.753042511925502,-4.753042511925502,False,0,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,9.652037646935723,17.521943529596413,12.0,535.8149940516166,1434.439891504314,24.640326199749147
2,1,5.807394372688356,-5.807394372688356,False,0,1.6767935120487703,0.3218452134122659,0.5034463231358678,0.136051164008677,0.0,0.6084749431871136,0.05984750441946089,7.8649831636820196,4.008351538705568,3.0899222376021385,20.0,15.0,20.0,10.81130223261965,243.61560040831407,1780.8928825793532,31.082196753969484
2,2,-2.1275356462593873,2.1275356462593873,False,0,1.0450495813714278,0.21425917010754347,0.5103717863559722,0.2327191774540567,0.0,0.23428368849780126,0.08178327632620931,0.20009150310626467,0.10279515399059846,1.944193413786733,15.0,10.0,16.0,12.427936985300864,270.4092449189809,2610.3661190718412,19.562478391249417
2,3,5.721295938559538,-5.721295938559538,False,0,1.6872888401855988,0.34629672442817094,0.6428401829713456,0.22111469253935362,0.0,0.3560751333694917,0.07637347660577856,8.280324937964139,1.9449059459178173,2.882812945315489,21.60689986878732,10.821056445391225,23.344170292202335,17.712062380803033,244.092459084845,2837.7788366856807,38.92037793116595
2,4,5.49048113056776,-5.49048113056776,False,0,1.3713789439645827,0.34399712886576495,0.645628357569217,0.2558443997650675,0.0,0.2393499913106081,0.06507442641092044,5.03875041483559,4.6780635242093,2.9308883856603107,17.938121182461593,12.750009418903886,20.03813612489086,15.153712040911651,226.44533966707107,1956.7402492423473,11.781434072827519
2,5,-5.265574533605877,5.265574533605877,False,0,1.6751141396675258,0.25629611328244206,0.5745592273771762,0.2774599595367908,0.0,0.44957126444354645,0.04745062171695753,6.240823448483042,5.908464120628281,2.906388637584609,19.0,10.0,20.0,15.0,271.5961067471653,2749.3419852107763,37.60505259037018
3,0,4.98353228306998,-4.98353228306998,False,0,1.758513126573627,0.3172499793371315,0.4433234574128216,0.26366427642339935,0.0,0.49370145246923447,0.1169671066360864,2.6763343376907045,1.281755835522155,3.0213719093363767,13.43393381471871,9.822464840429241,15.891830890180744,12.05881714102096,534.5785702159296,1283.7344500194365,25.74150717639496
