niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,512,5.807394372688356,5.807394372688356,1.67679351204877,0.3218452134122659,0.5034463231358678,0.136051164008677,0.0,0.6084749431871136,0.05984750441946089,7.8649831636820196,4.008351538705568,3.0899222376021385,20.0,15.0,20.0,11.0,243.61560040831407,1780.8928825793532,31.082196753969484
2,918,5.734979300272785,5.734979300272785,1.6437676631343487,0.268938154461705,0.497118817105714,0.1370171818197026,0.0,0.5633965000408194,0.09312575398149725,7.49918358566137,3.328730320508228,3.0234720725834814,20.0,13.0,21.0,12.0,237.65710520513878,2581.3142463213053,34.03285622944303
3,1536,5.721295938559538,5.721295938559538,1.6872888401855988,0.34629672442817094,0.6428401829713456,0.22111469253935362,0.0,0.3560751333694917,0.07637347660577856,8.280324937964139,1.9449059459178173,2.8828129453154894,20.0,11.0,20.0,15.0,244.092459084845,2837.7788366856807,38.92037793116595
4,1803,5.5772818431995095,5.5772818431995095,1.5343537840993238,0.33377962706920394,0.5775274764182498,0.1794211224535283,0.0,0.5340941453226028,0.06532980899721723,6.9432178115529695,2.2871875542167928,2.5964246856835813,18.0,12.0,20.0,11.0,252.90288384829137,2225.2273556623177,22.138073722102135
5,1656,5.540619515263685,5.540619515263685,1.827604520040583,0.31816619773152977,0.4926861870733135,0.21366463657468554,0.0,0.248966630683986,0.0701792999820606,6.241604169292415,2.955181214173372,2.373009978353701,20.0,15.0,20.0,15.0,261.56960856006003,2274.6033605553453,28.675801568027303
6,820,5.525255628158156,5.525255628158156,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.0,12.0,13.0,10.0,304.18680655765274,1439.2324961404997,21.04464690230905
