extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
0,5.807394372688356,-5.807394372688356,73,0,1.6767935120487703,0.3218452134122659,0.5034463231358678,0.136051164008677,0.6084749431871136,0.05984750441946089,7.8649831636820196,4.008351538705568,3.0899222376021385,20.0,15.0,20.0,11.0,243.61560040831407,1780.8928825793532,31.082196753969484
1,0.23170374743112365,-0.23170374743112365,130,36,1.7320358879360693,0.3882820939395548,0.616425555602126,0.15850246811418178,0.4299130785688076,0.04976046526472458,4.377162196145569,3.0259334539834413,2.4430911614469815,20.0,13.0,21.0,12.0,233.09991757700195,2260.3072443788888,24.214317032178702
2,-3.1681191320703395,3.1681191320703395,19,481,1.6486146562859867,0.36893001995356517,0.8221823826088696,0.1620302226656738,0.5757250583432914,0.1116404853328621,0.6521478880989164,0.4949424180195976,2.999006134204412,12.0,8.0,20.0,11.0,339.69935863566366,1301.2478443640052,16.915093006393214
3,-5.913330099270978,5.913330099270978,122,273,1.771364442959054,0.34108683351547986,0.5245103338994814,0.28921445713212846,0.359650923404817,0.09196281594767916,0.4876497152002557,0.4833892023416908,1.8908905841520132,16.0,12.0,16.0,12.0,397.5852523491381,1100.52455447447,28.60879910219253
4,-5.6563244679594735,5.6563244679594735,98,159,1.7042264255736006,0.2975264829388333,0.6672343622893095,0.1869255908523259,0.300915909575693,0.0615514135129329,0.8062914922413427,0.5179942694740731,3.3017895134205726,20.0,15.0,20.0,15.0,254.22664461657405,2135.6131994917214,29.152686541800673
5,-18.276024224846537,18.276024224846537,89,233,1.7056263032142072,0.34971131950048473,0.756971980445087,0.12473691498860717,0.2649414537852073,0.06242475130780578,0.593491451361011,0.27192096123506815,2.465725200251117,13.0,10.0,21.0,13.0,479.0644749067724,2647.3765052312833,32.1296575701879
6,-16.638337767853493,16.638337767853493,83,28,1.4424821080589332,0.2433280864453125,0.8778204238142764,0.18196671614009444,0.3356321302620883,0.04969686424298349,0.5107929859626381,0.07272118561148488,2.560206673754376,17.0,12.0,13.0,10.0,310.57700851593745,2070.8235030857054,37.18264719953809
7,-28.114006342334957,28.114006342334957,31,34,1.0314575807321817,0.2296060086041689,0.7904980503022672,0.24556310757994645,0.1633434092033654,0.014338430338818584,0.20704482273347224,0.1408175348715659,2.4144969667131835,11.0,8.5,20.0,8.0,532.3980004992336,2697.9804188013077,35.2907932177186
8,-26.261812975213186,26.261812975213186,84,290,1.1350778796515368,0.39587213672697547,0.7441009729592905,0.286066254302529,0.18064739065915345,0.07827694053743563,0.5684419742725808,0.2750019363707068,2.8072981012776723,11.0,8.5,16.0,12.0,517.1670226789572,1516.1464605480433,14.834205645958498
9,-36.756925580986874,36.756925580986874,49,467,1.3347474094065348,0.3541583444916226,0.585406972152407,0.13600785300704818,0.2589838699892163,0.1270836853519082,1.2852239529818519,0.3596763191300454,1.773281482989242,12.0,8.0,18.0,10.0,445.37183011937293,1436.1573123561311,30.266875703326615
10,-34.77847619047619,34.77847619047619,31,286,1.2787674901034682,0.1321390339359641,0.8368836957961321,0.16728134788572788,0.32905476823858915,0.020729284518491473,0.8717588228560658,0.390539650487014,1.884517061951998,14.0,10.0,20.0,13.0,244.0185112413019,2841.8093509972095,2.931484133005142
