generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,1024,3.9166195419966243,261.4499542322108,642.3256048874465,0.0,nan,nan,1.5529707672834396,0.12115114007145167,0.71441352032125,0.09806525535881519,0.0,0.22931412170063703,0.08092205033097416,9.258147476630043,6.329954186700299,2.192251742087506,12.003388251177967,5.0,623.355833766982,1260.9721682965755,0.9635614859871566,0.8182882270775735
2,0,1536,4.892621041974053,313.9421563253265,533.2956935751718,0.0,nan,nan,1.5529707672834396,0.12115114007145167,0.71441352032125,0.09806525535881519,0.0,0.22931412170063703,0.08092205033097416,9.258147476630043,6.329954186700299,2.192251742087506,12.003388251177967,5.0,623.355833766982,1260.9721682965755,0.9635614859871566,0.8182882270775735
3,0,2048,5.747985791997053,356.2987234330746,468.46084204775974,0.0,nan,nan,1.6890131662114691,0.22429262160109523,0.7067216450348497,0.19754138799384235,2.0,0.21545740536153316,0.043847340710058406,0.43927326353812646,0.10834474746654621,2.4159160976790304,11.629702828481896,5.0,587.2537735849619,1741.7426072061062,0.9141638984877023,0.8505454235710204
4,0,2560,6.397022041957825,400.1862090218006,415.80643272725865,0.0,nan,nan,1.2588193838555815,0.20937703254182438,0.8563703387975694,0.19700448024517564,2.0,0.08329259135045156,0.08186721467257486,0.7586235699618413,0.7078917594413099,2.4902505010684544,10.989348835996122,5.0,618.9618167467415,1692.2155720748551,0.9081151565310033,0.8117277296643916
5,0,3072,7.1363914589746855,430.46965930332624,385.365138784633,0.0,nan,nan,1.2588193838555815,0.20937703254182438,0.8563703387975694,0.19700448024517564,2.0,0.08329259135045156,0.08186721467257486,0.7586235699618413,0.7078917594413099,2.4902505010684544,10.989348835996122,5.0,618.9618167467415,1692.2155720748551,0.9081151565310033,0.8117277296643916
6,0,3584,8.433171709009912,424.9883820307954,389.1306374300288,0.0,nan,nan,1.2588193838555815,0.20937703254182438,0.8563703387975694,0.19700448024517564,2.0,0.08329259135045156,0.08186721467257486,0.7586235699618413,0.7078917594413099,2.4902505010684544,10.989348835996122,5.0,618.9618167467415,1692.2155720748551,0.9081151565310033,0.8117277296643916
7,0,4096,9.818538958963472,417.17001043833596,395.19619309827976,0.0,nan,nan,1.561605200259952,0.21907064771860318,0.683501733169418,0.1507825363994021,0.0,0.17054322718993592,0.08745195092833066,4.269204323938347,1.0861250485121374,2.219473734703196,10.67163071129471,5.0,642.0314599021118,1544.8576592553497,0.9882460338200783,0.7762698991073793
8,0,4608,11.885131084010936,387.71133169907915,423.9030086630567,0.0,nan,nan,1.561605200259952,0.21907064771860318,0.683501733169418,0.1507825363994021,0.0,0.17054322718993592,0.08745195092833066,4.269204323938347,1.0861250485121374,2.219473734703196,10.67163071129471,5.0,642.0314599021118,1544.8576592553497,0.9882460338200783,0.7762698991073793
9,0,5120,14.449211541970726,354.3445941758068,462.37476934306324,0.0,nan,nan,1.561605200259952,0.21907064771860318,0.683501733169418,0.1507825363994021,0.0,0.17054322718993592,0.08745195092833066,4.269204323938347,1.0861250485121374,2.219473734703196,10.67163071129471,5.0,642.0314599021118,1544.8576592553497,0.9882460338200783,0.7762698991073793
10,0,5632,17.432423374964856,323.0761368547449,505.5402778739808,0.0,nan,nan,1.561605200259952,0.21907064771860318,0.683501733169418,0.1507825363994021,0.0,0.17054322718993592,0.08745195092833066,4.269204323938347,1.0861250485121374,2.219473734703196,10.67163071129471,5.0,642.0314599021118,1544.8576592553497,0.9882460338200783,0.7762698991073793
11,1,6144,21.365259583981242,287.5696396689937,566.1793789755029,0.0,nan,nan,1.0066524878323078,0.30488127797842024,0.6820362936705351,0.22258679134771225,0.0,0.20170290453396733,0.021610599494166667,0.5807715313080095,0.5654733464652111,2.9531986590575525,11.346949180588126,5.0,574.2888666223735,2034.7900874912739,0.7728745564818382,0.5787530918605626
12,1,6656,21.679614208987914,307.0165334049423,528.6490541730129,0.0,nan,nan,1.0066524878323078,0.30488127797842024,0.6820362936705351,0.22258679134771225,0.0,0.20170290453396733,0.021610599494166667,0.5807715313080095,0.5654733464652111,2.9531986590575525,11.346949180588126,5.0,574.2888666223735,2034.7900874912739,0.7728745564818382,0.5787530918605626
13,1,7168,22.09424616699107,324.4283577644316,498.6986991977984,0.0,nan,nan,1.1144935682778088,0.388922316644867,0.39638351574540137,0.1736247889785435,0.0,0.09496967089569389,0.06482807284149628,0.9792908074169873,0.1196583500564401,2.8012516154050826,10.51671332188642,5.0,495.65516476816777,2820.183894303026,0.9760661224147255,0.7043053389068126
14,1,7680,22.784291374962777,337.0743409838677,478.4701188742184,0.0,nan,nan,1.1144935682778088,0.388922316644867,0.39638351574540137,0.1736247889785435,0.0,0.09496967089569389,0.06482807284149628,0.9792908074169873,0.1196583500564401,2.8012516154050826,10.51671332188642,5.0,495.65516476816777,2820.183894303026,0.9760661224147255,0.7043053389068126
