niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,1536,5.4409317832783195,5.466961944263893,1.7370882405626529,0.3066037479914468,0.7242564837617608,0.2773892562374773,0.0,0.2314027146849711,0.1406382182814821,4.560169959078024,3.7258301367365902,2.6006916331302414,11.684909918392723,5.0,594.8270808278731,1544.3194164061606,0.8803552783438713,0.727301732327343
2,2560,5.421825873842602,5.439648165462047,1.798092908196248,0.3762983460932111,0.4587684725122444,0.1589290863686985,0.0,0.5354513836258363,0.053081469993143615,4.153504911555487,3.489112380060071,3.2642936939997673,11.508855951201575,5.0,592.5919670637043,2235.8138778010057,0.9504673948109315,0.7893639492275202
3,0,5.417170334886822,5.435223045626818,1.7024051696293014,0.29816484708287994,0.6371848695597185,0.180435531472557,0.0,0.299238078828413,0.08254552250946276,4.465695920521213,3.5146347812879526,3.329996643000931,11.593202586504626,5.0,600.4880663728393,1986.7459501198555,0.7784922028447923,0.7819335269119385
4,360,5.4019676215364525,5.428932074375608,1.7670459071201048,0.3493470773570368,0.6417754494919938,0.15530939914836503,0.0,0.2205418183988864,0.06550673001533572,4.249283663425572,3.449804453001491,3.3066583437859824,11.973399122351182,5.0,579.3404390928949,2586.2542841809122,0.8512408098750188,0.7707747124459358
5,1575,5.401349932295017,5.421272641655277,1.7437947799797628,0.30620339122405604,0.6611859805383813,0.16116583164533213,0.0,0.149491372806851,0.10582758142356331,4.398932034430082,2.943974038142237,2.744186814184838,11.39196389739774,5.0,600.8331030693087,1850.895611752726,0.9033575571755612,0.7261819909385454
6,2972,5.395826230114602,5.4369105720945194,1.6832401812876059,0.3750826570221924,0.604450234783064,0.24102022801495815,0.0,0.4255721896722408,0.0838440882637333,4.343913741561906,3.365704125375302,3.1190791783873903,11.176904999747798,5.0,611.7578934811245,1896.5926924488767,0.8870395736418271,0.7487325764491339
