epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-7.533503993430104,7.533503993430104,False,0,1.561605200259952,0.21907064771860318,0.683501733169418,0.1507825363994021,0.0,0.17054322718993592,0.08745195092833066,4.269204323938347,1.0861250485121374,2.219473734703196,10.67163071129471,5.0,642.0314599021118,1544.8576592553497,0.9882460338200783,0.7762698991073793
1,1,-6.408287655341308,6.408287655341308,False,0,1.6266522406100212,0.32755252697018766,0.47356083811757405,0.23863872820414228,0.0,0.11781524462635451,0.06517352383052247,2.8261222591300026,1.2958393367028478,2.7111653482846347,10.305695523507467,5.0,591.720944593719,2630.5081299046724,0.834757241469761,0.8271442808486937
1,2,-8.001136759542076,8.001136759542076,False,0,1.3534997557085984,0.3694106957569195,0.5767560769794386,0.234722350407954,0.0,0.32487419103779436,0.15133680714867082,2.7364232744205026,1.7038915548010038,2.884771131450134,11.455749460393031,5.0,644.4058242298103,2601.9102398203813,0.7703895269484465,0.7649121785546626
1,3,-12.469126161752886,12.469126161752886,False,0,1.4884765695840598,0.33459547581674676,0.6187873734971833,0.08089260698058684,2.0,0.2774269022535302,0.07477434495708357,0.7628369546788178,0.10765149933222773,2.016093584966744,10.021551129856276,5.0,636.497048063889,2379.7497052790404,0.8112679346295996,0.702396465962873
1,4,1.3043797773007912,-1.3043797773007912,False,0,1.2355655237556267,0.23136670872636664,0.6301382027013962,0.12595200035216703,0.0,0.11721168361551457,0.07264377270455541,0.6039901418670581,0.22600112458016497,2.895636319537351,11.187789508445217,5.0,512.5054947769859,1586.3578646766714,0.9079542220570147,0.8329445214298548
1,5,4.96792944580278,-4.96792944580278,False,0,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
2,0,4.9912110082684835,-4.9912110082684835,False,0,1.6091123145552217,0.3518310438737713,0.7746366306973453,0.10256428955989816,0.0,0.18829933916001837,0.07901976858662794,2.2580302397241496,1.33377980024499,2.8042274256257222,10.071998578798457,5.0,620.1796907295693,1331.2089687588682,0.7861608421232605,0.8157786899728703
2,1,4.659735378575796,-4.659735378575796,False,0,1.2855438206228416,0.29749199194433235,0.5762970031878003,0.2545817419807107,0.0,0.4535103058320009,0.05852675878001831,0.5674555849964946,0.45262302275271793,2.6005441842284562,11.595691531896804,5.0,546.5411982020859,1533.5991645952772,0.9262782524991406,0.8476826228487603
2,2,0.8815200431993953,-0.8815200431993953,False,0,0.9794530882052265,0.38149239515288424,0.4293811874419809,0.2647186060024185,0.0,0.47437475882083224,0.1246660692313081,2.0170019160552712,0.7478999621943601,2.1817929739021737,10.437284434249774,5.0,625.7991390866032,2169.1523403133087,0.7487677634839122,0.7163726028079257
2,3,4.9724188587824445,-4.9724188587824445,False,0,1.7926304107001905,0.33600808089715656,0.7986915851199892,0.09516463028965673,0.0,0.359955669998239,0.12389199000927645,2.586295914124186,0.5516428457313722,3.11883886703799,10.504860408984928,5.0,607.0109732346882,1902.851994867102,0.8222793626126836,0.8116985601414944
2,4,4.983382562294866,-4.983382562294866,False,0,1.7685589485530662,0.34074658411601677,0.5922953423076113,0.16394658033982498,0.0,0.3114973344168167,0.05187392750391849,2.2512461354270883,0.8988199558081931,2.9676961384693534,11.518154642606312,5.0,581.3557357560737,2208.019764653968,0.9591971804453068,0.7529756746444567
2,5,4.96792944580278,-4.96792944580278,False,0,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
3,0,5.27506239422769,-5.27506239422769,False,0,1.540449227515194,0.31500665774965586,0.691483473518487,0.09143208590442459,0.0,0.3845851848062117,0.08871133368153643,4.244820031084629,1.8571272278036375,3.0759893927062345,11.334677887249777,5.0,608.1408758600048,1708.3256861772052,0.7915872574643437,0.7631946118157074
3,1,5.042910709557089,-5.042910709557089,False,0,1.5233189462046952,0.2686965381831356,0.7329072113120354,0.17935207289419103,0.0,0.4641174831600965,0.09209596683393825,2.9657127296519192,0.8591436550462035,2.664632418400478,11.448603362606367,5.0,601.2317690031284,2787.7256985436884,0.9382561605838773,0.7330713739224151
3,2,5.20007989741743,-5.20007989741743,False,0,1.5550108369306102,0.24801464814540333,0.40303593563816587,0.15577801499763375,0.0,0.3676465302710157,0.09667636375336097,3.822092573795132,1.7117427632821034,2.455294391326631,11.031137853199294,5.0,640.1005772558631,1454.9564916100776,0.8097908135600915,0.7034263997189769
3,3,5.206959649740716,-5.206959649740716,False,0,1.7698500729526192,0.26895865715329753,0.6611859805383813,0.19158063392456662,0.0,0.36909187400170496,0.08823506649086076,3.900812278829683,1.1815534308023743,3.0459732806628974,11.147057478128076,5.0,591.9186178326499,1607.3992908984092,0.9103289184112424,0.8135709912690221
3,4,5.2434088654763435,-5.2434088654763435,False,0,1.77229806352766,0.3348717085365591,0.714354469875799,0.17883189977862884,0.0,0.23372405169878943,0.07517397140971573,4.260158160613699,0.8609099744763355,2.780996383317682,12.161899361847777,5.0,546.908368220313,1983.6124541562717,0.9809802252341531,0.8058565919145848
3,5,5.2249902230114085,-5.2249902230114085,False,0,1.8242241102816856,0.32618257142661466,0.5935175820256283,0.17383322281739969,0.0,0.37013089274604877,0.07877856059940114,3.166971733535199,2.710744077278072,3.2847952257923003,11.272459935888534,5.0,550.5501543030376,1369.2481532399042,0.8707105341152634,0.8994471363173586
4,0,5.39245958363895,-5.39245958363895,False,0,1.746732385678928,0.30076448342070705,0.6036267951816743,0.23739915788101973,0.0,0.3779012070074486,0.0802569619622977,4.4496367053659185,3.1922726167689035,2.9693073787012367,11.502517918751789,5.0,620.9749884252,2311.682308705827,0.729402035332716,0.7414665489989822
4,1,5.294120187300528,-5.294120187300528,False,0,1.53882702421097,0.33510655708846304,0.519070694746268,0.1889829951069085,0.0,0.2944512699753194,0.07164792939605436,3.687236484598941,2.777678158994533,2.4535285206821076,11.423227288402565,5.0,622.3500724222881,2652.589617991252,0.9318957530585006,0.6937157283887206
4,2,5.30119873070768,-5.30119873070768,False,0,1.7182359191453962,0.2498346410234693,0.37710005566470284,0.17205996692451686,0.0,0.29291987206536085,0.11411598794079783,4.201079116279253,1.7959742237955396,2.790319760417206,11.044602931671408,5.0,620.927735127598,1636.2695311626364,0.9615092737596487,0.7242906353918819
4,3,5.260474887779243,-5.260474887779243,False,0,1.6542142483339028,0.2540500545922977,0.8099772985777806,0.22191071457805966,0.0,0.34891529085575557,0.09132564060759422,3.7298438488654213,2.5099843525464465,3.3327207359422646,11.871890335713143,5.0,571.92291445458,1548.669613354913,0.8293607345848193,0.8308520834211071
4,4,5.2434088654763435,-5.2434088654763435,False,0,1.77229806352766,0.3348717085365591,0.714354469875799,0.17883189977862884,0.0,0.23372405169878943,0.07517397140971573,4.260158160613692,0.8609099744763355,2.780996383317682,12.161899361847777,5.0,546.908368220313,1983.6124541562717,0.9809802252341531,0.8058565919145848
4,5,5.372521814995651,-5.372521814995651,False,0,1.6437913148514676,0.34351721921580836,0.6737613954092669,0.23639268721682877,0.0,0.4353971770465778,0.05445000566055758,3.9066496380202906,3.1895582707217685,3.326428093545405,10.703169180155697,5.0,636.7144485274416,1747.4846352470397,0.8664272004932876,0.7487109933979561
5,0,5.435223045626818,-5.435223045626818,False,0,1.7024051696293014,0.29816484708287994,0.6371848695597185,0.180435531472557,0.0,0.299238078828413,0.08254552250946276,4.465695920521213,3.5146347812879526,3.329996643000931,11.593202586504626,5.0,600.4880663728393,1986.7459501198555,0.7784922028447923,0.7819335269119385
5,1,5.399084709785238,-5.399084709785238,False,0,1.5232819518935525,0.3220242094661785,0.8451309157488638,0.10518500255492219,0.0,0.15669001228402876,0.07472954558933652,4.103380386033763,3.6205714040164594,2.8079014491063905,11.70681168743166,5.0,581.3551736941016,1946.7594954623542,0.8472803804920248,0.7557924552286426
