case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_velocity,coarse_alpha,coarse_elevator_deflection,coarse_elapsed_seconds,full_status,full_velocity,full_alpha,full_elevator_deflection,full_elapsed_seconds
0,0.8715402700129861,0.3181621972489185,0.7977672647345363,0.2259469548546263,8,9,4.03236563626821,5.275465240880569,ok,28.66221665982004,1.4634380834043572,-4.5584654467361805,0.25990289985202253,ok,29.917781336452983,-0.046411849284008065,-1.4156081761286163,1.7551251999102533
1,1.5216835716455137,0.23981233604375757,0.5163277216260798,0.20009386017368375,8,3,1.681891111091934,7.238435240264451,ok,28.30004962325082,0.06965420982724563,-2.242258098162215,0.01645340002141893,ok,29.883384326632623,-0.7819265615149509,-0.6465805223924792,1.5678991000168025
2,1.7144713439969608,0.258478355845525,0.44901266266069617,0.11076963094344668,9,9,4.224621597021677,1.6314154273117378,ok,27.57793361009171,-0.11177903159543963,-2.3191056462650477,0.016601600218564272,ok,29.591634372018525,-0.9823050570521009,-0.7180114858042854,1.6747667000163347
3,1.3592799124713257,0.15566101149139105,0.41005465421717213,0.1625617006328319,6,10,2.476167112055384,2.673622259725164,ok,29.609222009438337,0.6699489483630833,0.08850527347338719,0.015423799864947796,ok,30.4277103723063,0.030507567712354404,0.19653602197858783,1.5938941000495106
4,1.2055795710558828,0.26550443226819975,0.31768609422567623,0.27047299037629424,4,2,4.061396506276465,9.490302282516907,ok,28.140854977956963,0.8123228829342801,-3.287452685844548,0.020183300133794546,ok,29.79726348263339,-0.259734710030824,-1.2846690755531032,1.5765393001493067
5,1.7167737840109059,0.3229131523835297,0.8924179656516358,0.23039434244141982,7,6,4.348021868416848,8.256870077578226,ok,27.1416200612247,-0.3730167263573215,-2.5426901767719086,0.017617899924516678,ok,29.272100884591122,-1.4264292402496608,-0.4446599372399473,1.6414085999131203
6,1.3008472564461542,0.14901117258071933,0.5444485595811379,0.17946382174859163,5,4,4.38972390074183,1.9865410517471127,ok,29.824691984071965,0.860181175437154,0.5106115095815806,0.01752320001833141,ok,30.488062657409042,0.2009028368583239,0.2492917470068332,1.537512900074944
7,0.9745212671180152,0.27345178468333686,0.49147258583589437,0.1871609236514737,5,3,0.6297493843992703,2.842675842797416,ok,28.740821432384113,1.27215856912958,-3.85276084287206,0.014820599928498268,ok,30.05656025857986,0.03804724282999793,-1.3821517933193204,1.53658950002864
8,0.8338205267907275,0.2218235601745025,0.8266636365608011,0.0925679855868219,5,1,1.3397178167498054,4.03995001754308,ok,29.572555193474628,1.9799202904475954,-3.272924408705679,0.01497030002065003,ok,30.271123591661567,0.9143931704218486,-1.3313212914341535,1.5834968001581728
9,1.1511269950763343,0.27386953846478734,0.3264614132461098,0.1782925492483824,5,5,2.9493185704490403,9.03586029906277,ok,28.143279394296794,0.9407909304637917,-3.532601954277056,0.013654799899086356,ok,29.8419213677599,-0.20616290230898834,-1.3733943187040292,1.5124723999761045
10,1.2948041585198693,0.13774775956154192,0.6509154794523571,0.2288867041947248,5,9,1.1614951040259713,1.3379312680220181,ok,29.991275340582895,1.013791924383641,1.3740579526728178,0.016070700017735362,ok,30.50267938269267,0.34449222066648266,0.44750373131639626,1.5770608999300748
11,1.4888388083746373,0.29262459283568154,0.4105842354752078,0.14759284174028153,6,3,4.595336357124165,1.9540864740109596,ok,27.409498721672886,0.19621583738108672,-2.957702509747409,0.015919899800792336,ok,29.535316038544156,-0.8572778120789765,-0.993507790949859,1.6076585999689996
12,1.5381951434269334,0.1549543544455761,0.8399480053984831,0.2542095398816081,7,5,3.0155674219564554,7.021063339834435,ok,29.59136987034968,0.35781923812259203,0.04286145407568662,0.018516700016334653,ok,30.30536032820709,-0.2166511685433119,0.22710289573072484,1.512597099877894
13,1.6000570498768356,0.343154712441707,0.8452300849333112,0.24533331032880845,5,2,4.82206397139591,8.610010947607975,ok,27.083555769030717,-0.24975608698952548,-2.7891244503623898,0.020537500036880374,ok,29.26552488532397,-1.4083496287784683,-0.5262036689290591,1.7412632999476045
