mission,design_count,paired_success_count,coarse_exception_count,full_exception_count,valid_lap_pair_count,valid_lap_agreement_rate,coarse_valid_full_invalid_count,coarse_invalid_full_valid_count,flyability_agreement_rate,flyability_false_pass_count,flyability_false_rejection_count,mean_signed_lap_error_seconds,mean_absolute_lap_error_seconds,median_percentage_lap_error,mean_absolute_percentage_lap_error,p90_absolute_percentage_lap_error,p95_absolute_percentage_lap_error,coarse_median_runtime_seconds,full_median_runtime_seconds,median_speedup
M1,150,148,2,2,148,1.0,0,0,0.21621621621621623,116,0,0.7855153777365759,0.8908935969759131,2.7181421022065173,2.815926498246577,5.4624121280903015,5.965820999863416,0.4441141000133939,7.858712999965064,17.209646629795998
M2,150,148,2,2,148,1.0,0,0,0.20270270270270271,118,0,0.5557163561488244,1.138734964974693,2.548740773843763,3.0868827641936027,5.678028939189529,6.599928966552181,0.4441141000133939,7.858712999965064,17.209646629795998
M3,150,148,2,2,82,0.9459459459459459,8,0,0.4594594594594595,80,0,-1.8667041341437844,2.5748437470974994,-0.6009948002341656,3.9070941045206493,7.940180409779241,13.0339096897773,0.4441141000133939,7.858712999965064,17.209646629795998
ALL,150,444,2,2,378,0.9819819819819819,8,0,0.2927927927927928,314,0,0.12019195136309235,1.3532333715097478,1.9446125092269118,3.1587235116715338,5.766035587269603,6.680252610092127,0.4441141000133939,7.858712999965064,17.209646629795998
