generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
1,0,1024,102.10236720000103,10.029150430901955,5615.6301960000565,0.0,1.2635096967404555,-1.2635096967404555,1.4661878504861146,0.3198140019923449,0.3359628885984421,0.14832206800580022,2.0,0.18260542870424684,0.038705837725102894,1.6866546411482517,1.6614067460254134,2.2513885268488445,18.34356712643057,9.779188316596073,12.027925867587328,9.29698734637401,271.8365521170199,2807.353064417839
2,0,1536,119.04869929999404,12.902282923137127,4325.43607456645,0.0,1.2635096967404555,-1.2635096967404555,1.4661878504861146,0.3198140019923449,0.3359628885984421,0.14832206800580022,2.0,0.18260542870424684,0.038705837725102894,1.6866546411482517,1.6614067460254134,2.2513885268488445,18.34356712643057,9.779188316596073,12.027925867587328,9.29698734637401,271.8365521170199,2807.353064417839
3,0,2048,135.57364869999583,15.106180438736418,3660.4885148998874,0.0,-5.5815712103429425,5.5815712103429425,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
4,0,2560,167.15296669999952,15.315312976733468,3577.0734873799897,0.0,-5.5815712103429425,5.5815712103429425,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
5,0,3072,189.46642269998847,16.213954727294205,3347.240134366463,0.0,-5.5815712103429425,5.5815712103429425,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
6,0,3584,212.71399789999123,16.848914671262204,3190.7099684998684,0.0,-5.5815712103429425,5.5815712103429425,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
7,0,4096,241.3799808999902,16.96909571675323,3137.9397516998724,0.0,-5.5815712103429425,5.5815712103429425,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
8,0,4608,264.18658460000006,17.442217995197925,3023.4686904222226,0.0,-5.5815712103429425,5.5815712103429425,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
9,0,5120,297.7288402999984,17.196856021206983,3036.834171059984,0.0,-5.5815712103429425,5.5815712103429425,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
10,0,5632,336.7623206999997,16.723961244515813,3092.0903991545424,0.0,-5.5815712103429425,5.5815712103429425,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
11,1,6656,471.97340950000216,14.102489390347676,3594.2590415769396,0.0,-5.208075066267018,5.208075066267018,1.5850676976889373,0.3745815436169505,0.5048294881358742,0.1449271910637617,0.0,0.5437463607139885,0.05766905970005317,3.2409342897289832,2.5944598363991105,2.8239487415632682,10.0552369793877,7.882433577639182,10.072416961193085,7.8247902940941625,491.73533716239035,2562.139630317688
12,1,7168,485.4657186999975,14.765203234524574,3398.2600308999827,0.0,-5.208075066267018,5.208075066267018,1.5850676976889373,0.3745815436169505,0.5048294881358742,0.1449271910637617,0.0,0.5437463607139885,0.05766905970005317,3.2409342897289832,2.5944598363991105,2.8239487415632682,10.0552369793877,7.882433577639182,10.072416961193085,7.8247902940941625,491.73533716239035,2562.139630317688
