extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
0,5.764006217042068,-5.764006217042068,79,0,1.6423564735366678,0.37337265920757146,0.832749487608635,0.2791340035207447,0.1991337648265063,0.11674416969212822,7.222998396919671,5.005538330997602,3.163138656048649,11.698817919480165,7.67856592707368,12.179511815875086,6.906122494041282,547.6313627566278,2665.408491727087
1,0.06306310057779285,-0.06306310057779285,65,64,1.7876333832483047,0.35891433707450743,0.4691614656068699,0.08045833729517979,0.5286800447875434,0.015014821708997081,0.6597104311480777,0.2560183896781183,1.7893248119869747,11.78688169727792,6.772726725906175,13.2978794304654,6.058686844263706,410.22347696351244,1129.969013519154
2,-1.2635096967404555,1.2635096967404555,1,0,1.4661878504861146,0.3198140019923449,0.3359628885984421,0.14832206800580022,0.18260542870424684,0.038705837725102894,1.6866546411482517,1.6614067460254134,2.2513885268488445,18.34356712643057,9.779188316596073,12.027925867587328,9.29698734637401,271.8365521170199,2807.353064417839
3,-5.415606146963834,5.415606146963834,3,34,1.4851785676947786,0.331938899994998,0.7708316921042624,0.1614362876948042,0.45205921095412893,0.02910199894299731,1.822153219616645,1.5294705047529433,3.2211373774653995,15.45980487291154,6.66197359885269,16.59400531416313,13.165403445265166,449.6074132834038,2040.8531914283901
4,-5.4599457908678035,5.4599457908678035,21,22,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,16.79082691203803,7.709272227748309,17.8574994020164,7.92542736741269,304.40066042356193,2617.6781691610813
5,-5.661801834234822,5.661801834234822,41,261,1.5983621342848986,0.3547444023936987,0.445816939137876,0.1552820430509746,0.3854455468889325,0.01696705049825832,0.6841247075616863,0.5760577552248876,3.1882601126625727,12.415720373392105,7.180773887002373,21.37626730836928,13.339205691776229,411.30933756940067,1257.8594740480185
6,-22.66026012879252,22.66026012879252,25,32,1.2629173640815212,0.25392901951425817,0.7578172333168305,0.2731383737227707,0.30605357910204395,0.029854019090945254,0.11516546111724324,0.08158851898183173,1.6756695494328075,14.210701188776273,10.717256457856848,12.80354211514706,6.030419592170629,332.6915349046908,1129.5091950836434
7,-23.844596428034286,23.844596428034286,31,357,1.1901556997399778,0.3496339560300112,0.7539336662739515,0.09436382096260786,0.16450177525989707,0.04682728565372526,2.2239657591346287,2.157759815033323,1.9464620490734639,11.670884131453931,5.558822912490826,11.104389363899827,4.80396931591844,602.7847784105688,1428.013477474451
8,-28.224100895235264,28.224100895235264,1,345,1.2659354393336921,0.39420133251696826,0.8640687324106695,0.2798592145182192,0.1636529284022748,0.02875378856090828,0.8342063066199898,0.601276853080968,2.3264295730639146,15.911102225072682,7.509103691872311,20.575008830055594,14.690444445968843,256.47643208503723,2801.8425907939672
9,-30.86468553969413,30.86468553969413,72,29,1.783716828066292,0.36152228056416086,0.7990623139655911,0.12148247494579205,0.28792406943999227,0.051948254792322936,0.8884730686033038,0.7300652985335674,2.295080631139228,14.581159618652585,9.532617768567562,15.086841348390886,10.493863559570046,623.378569219346,2525.3110216437562
10,-34.593002487234344,34.593002487234344,31,263,1.556856380796805,0.3238423104584217,0.828021439164877,0.08754720197990537,0.3164472426842898,0.020243589944764967,0.7995321231035035,0.4052339056636356,2.900849424705312,15.625522430054843,7.782533559789513,14.341923450119793,7.026154428099829,402.3346720729023,2449.778163805604
