epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
1,0,5.5815712103429425,-5.5815712103429425,False,0,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
1,1,5.390646197312672,-5.390646197312672,False,0,1.7027517782360315,0.37363340969493203,0.4488036504015327,0.15480742555006902,0.0,0.2744067807052284,0.07082563709275803,4.612437675171783,3.354844993965827,2.89132634430541,14.621684346348047,8.500401514845594,13.322352534160018,9.23287512092637,482.72549295890775,2655.0718876887104
1,2,5.684110278730072,-5.684110278730072,False,0,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
1,3,5.371082021944835,-5.371082021944835,False,0,1.768862470674753,0.3555045468224056,0.6542348941088783,0.2504529147401628,0.0,0.332686296267828,0.08809102342315017,5.1863027502551375,1.4346328054910273,3.3205211239077403,15.119212742141888,9.572185773767627,17.606419997593928,12.547002517189094,458.427075312787,2498.9635230209033
1,4,5.380232538224141,-5.380232538224141,False,0,1.8274323464333706,0.17508437928613135,0.7968609430335345,0.2155352940292561,0.0,0.3713811013633102,0.10754362698355689,5.342779926123626,2.0523965742505794,2.885066208042646,24.07389747104007,15.565918545437146,17.3778086155653,11.61403931715674,247.48128071040477,2051.1982464027406
1,5,5.130820141934583,-5.130820141934583,False,0,1.5150165722459077,0.38297875065267517,0.47379071566588526,0.13340621565009464,0.0,0.5937409714523703,0.10638175354500316,3.036564320698531,2.046251446883524,3.1885932790721476,17.755720802350993,11.69785270370156,14.637897440102215,7.7584484561739675,329.3773735089074,2710.486663903732
2,0,5.5815712103429425,-5.5815712103429425,False,0,1.6831856674071028,0.3198523600366838,0.41690535778407334,0.0888440796887657,0.0,0.2804813929008832,0.07004395830051235,6.736670992118185,2.6391715310748367,2.319080318849694,17.932283694352737,8.911377668754497,12.576455475138424,9.816919832139378,323.97743218845716,1416.8359301675735
2,1,5.531927350485288,-5.531927350485288,False,0,1.7357802163176728,0.3896009403617493,0.3010214540719807,0.11787325583306364,0.0,0.3415809681049416,0.0722662450203672,5.778510860195901,5.32513768825774,2.9857668662853376,14.288562340661883,10.291877395802672,18.95849233493209,8.19553832581619,392.47364737199626,2910.926473891447
2,2,5.764006217042068,-5.764006217042068,False,0,1.6423564735366678,0.37337265920757146,0.832749487608635,0.2791340035207447,0.0,0.1991337648265063,0.11674416969212822,7.222998396919671,5.005538330997602,3.163138656048649,11.698817919480165,7.67856592707368,12.179511815875086,6.906122494041282,547.6313627566278,2665.408491727087
2,3,5.704701529651487,-5.704701529651487,False,0,1.3933989059061536,0.2853667185729903,0.34566283812788695,0.23942384987168575,0.0,0.18125087576417787,0.12178662373958786,6.898355062643752,5.088798131974855,3.272912909750758,17.37691344561717,7.272857910103106,14.772926052795384,8.860883231023005,400.85167025960254,2313.30175925253
2,4,5.380232538224141,-5.380232538224141,False,0,1.8274323464333706,0.17508437928613135,0.7968609430335345,0.2155352940292561,0.0,0.3713811013633102,0.10754362698355689,5.342779926123626,2.0523965742505794,2.885066208042646,24.07389747104007,15.565918545437146,17.3778086155653,11.61403931715674,247.48128071040477,2051.1982464027406
2,5,5.648096497085774,-5.648096497085774,False,0,1.6894657243404514,0.2752666906653462,0.45903647210324416,0.13280267776224966,0.0,0.3845150582073386,0.08535936402414664,7.416855802447266,1.6950237936768104,3.2734066814313287,17.85686690467343,7.851436026533634,19.761298206351174,8.283349319386382,326.4634646576118,1875.5555376410484
