quantity,mean_error,mae,p95_absolute_error,correlation
CL,0.0010532983069509198,0.006983017156591226,0.014949261723541656,0.9935188212588272
CD,1.1556282497317745e-05,0.0007973359150560703,0.0018896834639534842,0.973297746311294
Cm,0.0020095953148654864,0.004553591130279137,0.01813856625299933,0.03823779123294229
L,0.12021973548999851,1.034057009115672,2.2892232033867956,0.10178948642830028
D,0.029660082763377272,0.12321718531497443,0.3341758588865194,0.9682806912382707
m_b,0.04562884668993643,0.13654150377286348,0.32169197939399696,0.08405932389819923
