quantity,feature,signed_error_correlation,absolute_error_correlation
CL,wing_span,0.0819988877445212,-0.06940364724621384
CL,wing_chord,-0.13323787503650092,-0.4461460732667434
CL,tail_arm,-0.1394350258326259,-0.04600474760961118
CL,nose_length,-0.11350684729306167,-0.05221383430523967
CL,ducks_num,0.1402064822207439,0.13488166077948208
CL,pucks_num,-0.0035066900620088857,-0.011144266051626082
CL,banner_length,-0.1359451442479132,-0.0916189828210475
CL,batt_capacity,-0.02111691234912844,-0.03177847878706731
CL,wing_area,-0.11782129385549422,-0.3564525090446575
CL,aspect_ratio,0.0742406699936636,0.38588188510324845
CD,wing_span,0.34145586136737566,-0.11627477239730598
CD,wing_chord,0.3809844523690148,-0.21032105262522707
CD,tail_arm,-0.6049882185556376,-0.23682316447722968
CD,nose_length,-0.21780721278967746,0.15722530182015662
CD,ducks_num,-0.10311542935745176,-0.026384543756301792
CD,pucks_num,0.06378530298265399,0.11299624695987892
CD,banner_length,0.017522502969283888,-0.08895283791402252
CD,batt_capacity,0.07366571386981423,0.0533364732840881
CD,wing_area,0.4450560285586582,-0.185086799908396
CD,aspect_ratio,-0.16293828567941118,0.08523550285479374
Cm,wing_span,0.1593243903324606,-0.15707497917013052
Cm,wing_chord,-0.48341694329303686,-0.5578845602879723
Cm,tail_arm,-0.14506359199375965,0.038014088746852366
Cm,nose_length,0.12559905002056365,0.031231731245772186
Cm,ducks_num,-0.05554245413058132,0.030629686448502856
Cm,pucks_num,0.076381420208168,0.08372909174268982
Cm,banner_length,0.057404375579449315,-0.04543023871757382
Cm,batt_capacity,-0.0290536504831728,-0.004660652688368015
Cm,wing_area,-0.21168121278424526,-0.45858890336754765
Cm,aspect_ratio,0.606361943181754,0.4607402750095216
L,wing_span,0.015691378463726043,0.3030909035842321
L,wing_chord,-0.37895749580412036,0.03915165611443515
L,tail_arm,-0.23998164101413869,0.09162807307359554
L,nose_length,-0.12782154305081678,0.0001633850166142151
L,ducks_num,0.16244170772003222,0.16429343297701599
L,pucks_num,0.055496863984857446,-0.07215525587088328
L,banner_length,-0.1725179977914259,-0.031744362787094124
L,batt_capacity,-0.04024984415312522,0.03147119386955131
L,wing_area,-0.3358048574101893,0.20915119142336974
L,aspect_ratio,0.23843447546998534,0.19520542877793368
D,wing_span,0.35107980314149023,0.251602686793407
D,wing_chord,0.2747337905521976,0.20185730491145487
D,tail_arm,-0.7055576126846832,-0.33414094713398873
D,nose_length,-0.1845750691961605,0.12462866053639136
D,ducks_num,-0.09684466364994228,-0.036652187195592136
D,pucks_num,0.07633680183633218,0.12395055853754583
D,banner_length,0.022118277933299672,0.01909401378780222
D,batt_capacity,0.051385742264204434,0.08699261307483515
D,wing_area,0.3976924346181723,0.3193262898233702
D,aspect_ratio,-0.08294682938813923,-0.056432666520502925
m_b,wing_span,0.5419327585538914,0.30833466468142895
m_b,wing_chord,0.021730315527671365,0.28350650475177874
m_b,tail_arm,-0.2821078231869339,0.08065631434490123
m_b,nose_length,0.15844101343184352,0.04042797142419701
m_b,ducks_num,-0.07481979599891712,0.053664412803566465
m_b,pucks_num,-0.008726774325069495,0.02014460393367326
m_b,banner_length,0.1634195841563434,0.04144969017119744
m_b,batt_capacity,0.004808078809761861,0.06952153739710329
m_b,wing_area,0.40096630313284504,0.44473130974203234
m_b,aspect_ratio,0.3529677117917103,-0.034390462791623604
