case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,wing_area,aspect_ratio,full_trim_velocity,full_trim_alpha,full_trim_elevator,coarse_CL,coarse_CD,coarse_Cm,coarse_L,coarse_D,coarse_m_b,coarse_wing_L,coarse_tail_L,coarse_wing_D,coarse_tail_D,coarse_body_D,coarse_wing_m_b,coarse_tail_m_b,coarse_body_m_b,full_CL,full_CD,full_Cm,full_L,full_D,full_m_b,full_D_induced,full_D_profile,full_wing_L,full_tail_L,full_wing_D,full_tail_D,full_body_D,full_wing_m_b,full_tail_m_b,full_body_m_b
0,0.8715402700129861,0.3181621972489185,0.7977672647345363,0.2259469548546263,8,9,4.03236563626821,5.275465240880569,0.2772911672982473,2.739295483715574,29.917781336452983,-0.046411849284008,-1.4156081761286163,0.18136421458657284,0.01750703174356863,-0.0027746142462870276,27.570998578187385,2.661419996279395,-0.13419986701331388,29.959575389801135,-2.3885768116137513,1.6640169011868415,0.3131232803170022,0.6842798147755518,-1.7678304568790502,1.7958376254467887,-0.16220703558105232,0.18215522438784315,0.018450603430040662,-3.3824781119872083e-12,27.691228853500657,2.804859886854491,-1.6360032772944066e-10,0.7160411860931745,2.0888187007613173,30.571245771333555,-2.6830099966693832,0.9620183959771997,0.32926474613317686,0.7975355586509405,-1.8688086146174958,2.0199726899275996,-0.1511640754737043
1,1.5216835716455137,0.2398123360437575,0.5163277216260798,0.2000938601736837,8,3,1.681891111091934,7.238435240264451,0.3649184920357191,6.345309823293905,29.883384326632623,-0.7819265615149509,-0.6465805223924792,0.14468792518556217,0.014798984514588689,0.0005356181244827261,28.8797755776891,2.9538840301351232,0.025638245933594546,32.70351075520266,-3.8237351775135564,1.691685164638747,0.5794916037577915,0.6827072617385845,-1.593901667281946,1.829588949352562,-0.21004903613702156,0.13873339147240557,0.01425791311816394,1.3941392343653365e-13,27.69122886302381,2.8458839726607392,6.67327304526566e-12,0.24198235105210184,2.6039016216086375,31.825990487623457,-3.843349464146004,1.3971760810259868,0.5180518548466366,0.6886736857360141,-1.6068327266108557,1.8339101337414858,-0.2270774071239567
2,1.7144713439969608,0.258478355845525,0.4490126626606961,0.1107696309434466,9,9,4.224621597021677,1.6314154273117378,0.4431537341406019,6.632939684209321,29.591634372018525,-0.9823050570521008,-0.7180114858042854,0.11970207475985177,0.014551490339858681,0.0034592043542679388,28.45116725502157,3.4586441905851446,0.21251951309230463,35.19479198086148,-6.74362472583991,1.9044050472867966,0.884797281441692,0.6694418618566558,-2.4197119297690985,2.837033236774315,-0.2048017939129119,0.11650488016558291,0.013430273186018618,1.316146426152287e-13,27.69122886301685,3.1921475560364074,8.085865310647478e-12,0.19481861724811012,2.9973289387882978,34.42789289827248,-6.425257051669955,1.6527576938915831,0.7144383527750746,0.6301328921216397,-2.4311601396106015,2.6543002667733897,-0.22314012715470238
3,1.3592799124713255,0.155661011491391,0.4100546542171721,0.1625617006328319,6,10,2.476167112055384,2.673622259725164,0.21158688607521595,8.732308106237006,30.4277103723063,0.0305075677123544,0.1965360219785878,0.24080602540396195,0.018835348074715205,0.0026060938707435,28.893538860707697,2.259992708400002,0.048674700801552416,28.610902184096084,0.2826366766116128,1.2491943356532407,0.30299356328551535,0.7078048094612459,0.30600863084426927,-0.10149945434769929,-0.15583447569501754,0.2307858302879733,0.018266510632178837,1.8311271687488113e-13,27.69122886299062,2.191738226791279,3.4200420273577947e-12,0.29774878316262177,1.893989443628657,27.62037640333909,0.3437009343433305,0.975231451521806,0.3278846257758906,0.5908733663309602,0.28209806409821603,-0.09795044788770002,-0.18414761620709597
4,1.2055795710558828,0.2655044322681997,0.3176860942256762,0.2704729903762942,4,2,4.061396506276465,9.490302282516907,0.32008671956733187,4.540713541979837,29.79726348263339,-0.259734710030824,-1.2846690755531032,0.16241148865088914,0.018314218651112598,0.001255211444291254,28.27113589306257,3.1879749921744884,0.05801164448572516,34.44008382260695,-6.168947929544379,1.6744070429785056,0.8347900017478532,0.6787779474481294,-1.5709350829406339,1.7927609062965315,-0.16381417887017238,0.15908015923322225,0.01693799460788964,1.243159993644185e-10,27.69122885282381,2.948412217185,5.74546274445531e-09,0.38249251680647967,2.5659197003785206,33.9952990040664,-5.891719975070661,1.1598901651890148,0.6900536022089618,0.7159759329805437,-1.508957585445123,1.6573149499442188,-0.148357358753633
5,1.716773784010906,0.3229131523835297,0.8924179656516358,0.2303943424414198,7,6,4.348021868416848,8.256870077578226,0.5543688345243626,5.316518609845484,29.27210088459112,-1.4264292402496608,-0.4446599372399473,0.08959390713323753,0.011663336745779124,0.0014070793494583857,26.067006665666863,3.3934034849491828,0.13219560305370054,31.9127166565204,-5.845709990853539,2.0858465041717964,0.6524944657299708,0.6550625150474152,-4.567490716349463,5.017171573050848,-0.3174852536476848,0.09517652442234037,0.01226311549592425,6.112305472471677e-13,27.69122886090493,3.567904373545707,5.742528674801406e-11,0.1966031230421867,3.3713012505035205,33.712576508569114,-5.754517757962125,1.9741056685089093,0.5540145761981162,0.8431810057964949,-4.610889056683722,4.90631710146496,-0.2954280447238124
6,1.3008472564461542,0.1490111725807193,0.5444485595811379,0.1794638217485916,5,4,4.38972390074183,1.9865410517471127,0.1938407750314531,8.729863901590907,30.48806265740904,0.2009028368583239,0.2492917470068332,0.25657321533234306,0.01907550093385415,0.005380157333277768,28.315367585548387,2.1051683829152377,0.08847584018313362,27.92788542997804,0.3874821555703485,1.192962454127581,0.20159052322209436,0.7106154055655627,0.43178805688090455,-0.18912736315786238,-0.15418485353990857,0.2509178981986714,0.019196851603308977,-7.381438606424922e-13,27.691228861711195,2.1185591581459815,-1.2138651195314765e-11,0.32380700795693995,1.7947521501890416,27.37276749188518,0.5307095420034716,0.9182325923139688,0.24512037336866932,0.6313991845064034,0.4162414712607845,-0.2426985486173425,-0.17354292265558063
7,0.9745212671180152,0.2734517846833368,0.4914725858358943,0.1871609236514737,5,3,0.6297493843992703,2.842675842797416,0.26648457970528805,3.563777315428869,30.05656025857986,0.0380472428299979,-1.3821517933193204,0.1924617336069119,0.018477469913296973,-0.002467348694701752,28.379263778132113,2.724577934504912,-0.09948738675051451,31.326080931985548,-2.946817153853435,1.5942206965791879,0.4397143932969416,0.6906428446287827,-1.2709653838471613,1.3287459906503145,-0.15726799355366775,0.18779576614510526,0.01789653482403377,3.6004696699972582e-12,27.691228856560993,2.6389148793099637,1.4517650970269358e-10,0.571037914482009,2.0678769648279545,31.075286550434406,-3.0828173224312643,0.9665292835009784,0.42501055750769273,0.6763371238192832,-1.2474414782235699,1.38563173566764,-0.13819025729889356
8,0.8338205267907275,0.2218235601745025,0.8266636365608011,0.0925679855868219,5,1,1.3397178167498054,4.03995001754308,0.18496103779929832,3.7589358232948014,30.271123591661567,0.9143931704218486,-1.3313212914341537,0.2767679395257158,0.022029556423913695,-0.00595307542640721,28.731560172421464,2.2869105686521194,-0.13708580461441283,28.94799291320971,-0.21643274078824495,1.441655750910736,0.14471625944148153,0.7005385582999015,-0.20209291762721654,0.16655313401075275,-0.10154602099794903,0.2667467269615742,0.022935917475330258,1.9743596198054012e-11,27.691228863250835,2.380999186878481,4.546498594271142e-10,0.7701464846215392,1.610852702256942,28.147295272469474,-0.33898296952943796,0.7305576118234021,0.19828333750044308,0.6820117529330969,-0.17417961821889538,0.2705122347043391,-0.09633261603079385
9,1.1511269950763343,0.2738695384647873,0.3264614132461098,0.1782925492483824,5,5,2.9493185704490403,9.03586029906277,0.31525861885591316,4.2031947091638315,29.8419213677599,-0.2061629023089883,-1.3733943187040292,0.16351265506372964,0.018514090964666823,0.0012772170450252953,28.117583629038037,3.1836771338080365,0.06014992091456677,34.34192032741254,-6.224336698374504,1.6877307789006677,0.8151322806935669,0.6808140742138018,-1.6453712207725066,1.861606183030765,-0.1560850413436916,0.1610333780146921,0.01683697774073173,2.9750624584590913e-13,27.69122886302186,2.895279287612468,1.4010903548467013e-11,0.41720578594269886,2.478073501669769,34.0659107757744,-5.958636534188806,1.1340272531019133,0.6764518654181988,0.6675943831496571,-1.5860244280345395,1.7247572423677249,-0.1387328143191744
