quantity,count,full_mean,coarse_mean,bias,mae,mean_relative_error_percent,mean_absolute_percentage_error,p95_absolute_percentage_error,correlation
D,145,2.6900795536311293,2.693496704793489,0.003417151162360321,0.03660371663611044,0.23833424914842355,1.3815839915223016,3.0370653332806308,0.9963798839101881
CD,145,0.017558365963528562,0.01760063051405044,4.226455052187819e-05,0.00024802270977335975,0.23826517779778528,1.3815759111896442,3.0371321476476973,0.9971992378665449
