component,full_mean_D,coarse_mean_D,bias_D,mae_D,mean_absolute_percentage_error,correlation
profile,2.2913624599653257,2.294631680443553,0.003269220478227436,0.030554477009354722,1.3227799146168735,0.9984055439996072
induced,0.3987170936658036,0.39886502434993654,0.00014793068413292745,0.014701417038284014,3.9310946858904074,0.993977649835988
wing_profile,1.169330890950779,1.1755509636139754,0.0062200726631962775,0.02738833390802411,2.3433873213034464,0.9968858717116966
tail_profile,0.432865419185353,0.43193500163177967,-0.0009304175535732802,0.005395789925421416,1.705970371917247,0.9995292826387988
body_profile,0.6891661498291931,0.6871457151977977,-0.002020434631395588,0.020247489214023674,2.9616406989084574,0.9656974258109585
