case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,full_trim_velocity,full_trim_alpha,full_trim_elevator,coarse_trim_velocity,coarse_trim_alpha,coarse_trim_elevator,coarse_CD,coarse_D,coarse_CD_wing_profile,coarse_CD_tail_profile,coarse_CD_wing_induced,coarse_CD_tail_induced,coarse_CD_interaction,coarse_CD_body,coarse_D_wing_profile,coarse_D_tail_profile,coarse_D_wing_induced,coarse_D_tail_induced,coarse_D_interaction,coarse_D_body,full_CD,full_D,full_D_profile,full_D_induced,full_D_wing,full_D_tail,full_D_body,error
0,0.8715402700129861,0.3181621972489185,0.7977672647345363,0.2259469548546263,8,9,4.03236563626821,5.275465240880569,ok,29.917781342601465,-0.046411849509582964,-1.4156081762339014,29.886593309177492,-0.012288161007612746,-1.5618607750187194,0.018654234130681263,2.8358177718685496,0.006432874787898217,0.0021439227027619605,0.005427085209983889,0.00017661158921216286,-0.0009286845646959493,0.005402424405520981,0.9779260043553804,0.32591925561849827,0.8250258134481349,0.026848504200022515,-0.1411786822538718,0.821276876500385,0.018450603428712728,2.8048598878054873,2.0888187015172517,0.7160411862882357,0.9620183963329593,0.3292647462321224,0.79753555895217,
1,1.5216835716455137,0.23981233604375757,0.5163277216260798,0.20009386017368375,8,3,1.681891111091934,7.238435240264451,ok,29.8833843267229,-0.7819265615304016,-0.6465805223794727,29.87276643615978,-0.8534390300511258,-0.5658044541459515,0.014421521113894739,2.8785421639473574,0.007128681668373928,0.0026372019286035617,0.0016193804002739565,0.00022543503917136796,-0.0006157128175300747,0.0034265348950019976,1.4228880985378363,0.5263867026491841,0.3232290633452909,0.04499693620118103,-0.12289655800840107,0.6839379212222657,0.014257913118138843,2.8458839726729255,2.6039016216233324,0.24198235104959315,1.3971760810342506,0.5180518548490398,0.688673685740042,
2,1.7144713439969608,0.258478355845525,0.44901266266069617,0.11076963094344668,9,9,4.224621597021677,1.6314154273117378,ok,29.591634372097687,-0.9823050570638827,-0.7180114857917509,29.600400974750947,-1.045282925196923,-0.5218669436084786,0.013439059812113468,3.1942381887182436,0.006960154497661576,0.003027112140764075,0.0012652896121252651,0.00039896914161158834,-0.0007998546905317496,0.0025873891104827135,1.654311507399513,0.7194935759453709,0.3007380319266111,0.09482824587975815,-0.19011198950234687,0.6149788170693372,0.013430273186002956,3.1921475560497643,2.9973289388034585,0.1948186172463063,1.6527576939004236,0.7144383527781276,0.6301328921249073,
3,1.3592799124713257,0.15566101149139105,0.41005465421717213,0.1625617006328319,6,10,2.476167112055384,2.673622259725164,ok,30.427710372714024,0.030507567988525237,0.19653602243244955,30.424599776868057,-0.08468141137278706,0.3188542276520085,0.018511116649801786,2.2210892247951004,0.00833849088920806,0.0027399141385035936,0.002492317036431959,4.170298036238472e-06,9.447519663545939e-05,0.004841749090986475,1.0005086465310808,0.3287534666342911,0.2990450883713467,0.0005003806203432152,0.011335774347230645,0.580945868290808,0.018266510632845005,2.1917382269299486,1.893989443667964,0.2977487832619844,0.9752314515436297,0.32788462578260824,0.5908733663417259,
4,1.2055795710558828,0.26550443226819975,0.31768609422567623,0.27047299037629424,4,2,4.061396506276465,9.490302282516907,ok,29.797263470884516,-0.2597347091906567,-1.284669070494321,29.83070311679285,-0.3194645698530332,-1.1765854946322076,0.016774330676325763,2.9199250966228143,0.006874992758858587,0.004002182315760582,0.0032997974303471357,0.00042875633135208225,-0.0015841510974661155,0.0037527529374734945,1.1967371028414948,0.6966640166181011,0.5743991528818814,0.0746340582171649,-0.27575482059991635,0.6532455866640887,0.01693799461379455,2.9484122158877937,2.5659196984995862,0.38249251738820744,1.1598901643776294,0.6900536016788149,0.7159759324431418,
5,1.7167737840109059,0.3229131523835297,0.8924179656516358,0.23039434244141982,7,6,4.348021868416848,8.256870077578226,ok,29.27210088300952,-1.4264292400069785,-0.4446599374134336,29.306874946347705,-1.3657082058518455,-0.45754770325649485,0.012045576757353094,3.504614762752204,0.00644886372080741,0.0019215509739708859,0.0008661853772487613,0.00031830734612445314,-0.0004756438136725652,0.0029663131528741477,1.87627238231846,0.5590679505361471,0.25201334245228385,0.09261031221599761,-0.13838675928830554,0.863037534517621,0.012263115496204137,3.5679043732415847,3.3713012501462014,0.19660312309538328,1.9741056682853553,0.5540145761508705,0.8431810057099755,
6,1.3008472564461542,0.14901117258071933,0.5444485595811379,0.17946382174859163,5,4,4.38972390074183,1.9865410517471127,ok,30.48806265675428,0.20090283662994202,0.2492917485538065,30.477089300231526,0.12536467688434402,0.47230462777235466,0.019424858147155062,2.14372337345406,0.008474701607598648,0.0021698833367862903,0.00280790795768521,1.285093112200294e-05,0.00015055935753168485,0.005808954956431229,0.935266336651148,0.23946788138674413,0.3098801480966814,0.0014182261310835198,0.01661569991336951,0.641075081275034,0.019196851603256074,2.118559158049148,1.7947521501278039,0.3238070079213437,0.9182325922816239,0.24512037336212164,0.6313991844840584,
7,0.9745212671180152,0.27345178468333686,0.49147258583589437,0.1871609236514737,5,3,0.6297493843992703,2.842675842797416,ok,30.056560252152643,0.03804724464703071,-1.3821517944224107,30.051889116872054,-0.0033679225434991686,-1.441898791507267,0.018113069084478964,2.6708455521345145,0.006780407246666941,0.0029042788069400275,0.004847570311287142,0.0002047983173876386,-0.0011042388706310135,0.004480253272828231,0.9997985682028308,0.4282476976980756,0.7147939172635811,0.03019834311503381,-0.16282450325583347,0.6606315291108268,0.017896534829665512,2.6389148790117893,2.0678769640215178,0.5710379149902712,0.9665292831215522,0.4250105573723409,0.676337123527625,
8,0.8338205267907275,0.2218235601745025,0.8266636365608011,0.0925679855868219,5,1,1.3397178167498054,4.03995001754308,ok,30.271123587897684,0.9143931711700508,-1.331321291407706,30.25237828891199,0.810597564755587,-1.4974953119477354,0.02373322470221296,2.463770097852325,0.007302621218429821,0.0018093753189981263,0.007918103117446357,4.621629785610653e-06,-0.00015018429101098423,0.006848687708564025,0.7580925061663314,0.18783308474401833,0.8219863055801512,0.00047977606970827925,-0.015590783385011853,0.7109692086771277,0.022935917479556717,2.3809991867251314,1.610852701928059,0.7701464847970727,0.7305576116871035,0.19828333746642796,0.6820117527745274,
9,1.1511269950763343,0.27386953846478734,0.3264614132461098,0.1782925492483824,5,5,2.9493185704490403,9.03586029906277,ok,29.841921367849235,-0.20616290233072837,-1.3733943186764814,29.880221468886987,-0.2577157180530185,-1.2701834543386634,0.01662087681693273,2.8581206372601358,0.0067942747449372485,0.0039679949832498096,0.003632054869537443,0.00044559054188399947,-0.0016971238574971957,0.0034780855348214273,1.1683413021831246,0.6823351424286576,0.6245669884100525,0.07662360641702963,-0.29183687326036073,0.5980904710816323,0.01683697774068537,2.8952792876218307,2.4780735016833937,0.41720578593843766,1.1340272531083653,0.6764518654212386,0.6675943831537896,
