niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,512,6.946130007621588,7.025894840916739,1.6743838194584404,0.37027876251095637,0.8578290567921869,0.27330767422680485,0.0,0.4143497540166195,14.465347810420095,11.05294991889458,1.9985677342289048,19.075432294178405,13.891740873970978,228.66423072326478,2903.1626391806035,0.9660741372607421,0.8318980779318824,8.0
2,0,6.883672560301232,6.92704387961097,1.5830727946493774,0.29987193508168014,0.5997694614385323,0.2954798655724987,0.0,0.5707949706205433,13.570113646168823,10.962465578349628,2.6361244479387835,18.572788743042096,11.56438545569816,355.0539373606751,2782.512295080718,0.9320377869213772,0.6893753259712296,8.0
3,1024,6.877142857142857,6.882438622479215,1.5656777829362416,0.39489721145008705,0.5217983789540802,0.08268320130292797,0.0,0.5597245834166478,15.86177444276761,5.334916014788995,2.955478127023724,19.365672833933196,11.508709328878327,378.1946466533757,2422.1198730522474,0.8272182069664394,0.6104501071879077,8.0
4,1241,6.853127786692648,6.869745165012766,1.6709169908251613,0.2853541391133666,0.6313487289976937,0.12424514560629568,0.0,0.4659008442034386,15.044668270917686,5.827572696640261,2.5255671655260126,16.8165313504794,12.667754956873342,352.5078301196393,2533.2448619359443,0.8532089782153589,0.6968504463528766,8.0
5,714,6.843979012642867,6.87998572961621,1.7187723467399156,0.34576260392766767,0.5672518163771101,0.11161107834810682,0.0,0.5372625318460564,15.456576336934791,9.964411655149592,1.876747596240646,21.931980174872216,14.773190609444761,295.4857188605747,2962.8051520414456,0.9013144571540852,0.7917272512340668,6.0
6,2560,6.827109744428053,6.841523147875064,1.5189824876808715,0.29148615031016706,0.5272438810408036,0.22721642391531008,0.0,0.47898193501736963,15.030344618636466,10.44240666964283,4.126700879959902,24.525990468998074,16.38638730594264,308.62293024215614,2761.152660474181,0.8920418691455971,0.7992090031942534,6.0
