score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
5.515339449984708,-5.515339449984708,269,1.5239833805763001,0.399439355807086,0.795630897808458,0.15653937755519368,66.0,22.0,2.295377216768397,4.480442287194132,19.021845706348927,11.937258439722024,301.4069131732859,1967.8747888835744,0.8859223935909206,0.989350387801977
5.514002428890282,-5.514002428890282,261,1.5191418090674111,0.3977034517035771,0.8140572448265734,0.18856351713071856,67.0,22.0,2.24321332480524,4.487524491822864,18.487884334139604,11.81441205066263,310.30670413641195,1809.7821372947817,0.9097787446386725,0.9912207673990103
5.513613104430829,-5.513613104430829,245,1.5187553107681648,0.39928586443556574,0.8213645259987773,0.13660176308586708,68.0,22.0,2.2566825435388496,4.487763145326465,18.93126066407035,11.832124984935326,302.89809130402193,1982.145395232136,0.9146019559293825,0.9867250158295326
5.512838981593492,-5.512838981593492,293,1.5211939990409384,0.3991619574571426,0.7889314017078155,0.11498741070527771,67.0,22.0,2.239557497512919,4.462059273394318,19.30103870296052,11.808581960974632,298.4073096454953,1779.6136765507304,0.9107305504303049,0.9892918329125893
5.512600189601278,-5.512600189601278,263,1.5203385129732707,0.39608338750298144,0.8152366148050854,0.20827037222174752,65.0,21.0,2.2230751087459315,4.431545603298141,18.055799895976378,12.141437973725127,305.9961045057395,1961.6012751897438,0.9719524438229856,0.9997243443145698
5.512572186261777,-5.512572186261777,255,1.518691729337308,0.3978430887282366,0.757224357215758,0.136352588138475,67.0,21.0,2.237827049065375,4.407339872953784,19.098700741933026,12.257551123143807,290.04398495833726,1926.1935094826886,0.9867521469033751,0.99700596100291
5.5122435291496945,-5.5122435291496945,285,1.5234396778464283,0.3999497984581815,0.7948961532337417,0.14826683362481685,65.0,21.0,2.230689171703131,4.452889532618629,17.320381922638823,11.584656183531816,330.2209715037768,1896.3892802497144,0.9186146924648058,0.9898305710634532
5.512074997293284,-5.512074997293284,271,1.5234560257748089,0.3981435356575378,0.7995372273665128,0.20153832558619933,66.0,22.0,2.2366319166180233,4.424222540411017,18.961685294102917,12.437323680174305,290.05866816711705,2031.703118158426,0.881358928721976,0.9913178385760453
5.51173278490877,-5.51173278490877,258,1.52233194191573,0.39932339274858764,0.7966203652853797,0.187467004662311,67.0,22.0,2.259169462607826,4.409984246852135,16.669277119126473,10.777290020196745,351.6584810241382,1605.0047439936,0.9114140729193027,0.9973478810924306
5.511258107428791,-5.511258107428791,262,1.5197536473459015,0.3941720536695361,0.7972780958625774,0.2326423013055878,66.0,22.0,2.2425423728129443,4.45737061174631,17.05192499729476,11.360848006267124,333.66582930588737,1771.2417360259058,0.9582341875461752,0.9989500666988913
