rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1650,2234,13.818031172637507,-13.818031172637507,-13.840443479927025,True,1.7128728174127639,0.37326684799019705,0.6584226440638304,0.22544581489637494,4.0,0.2776194674807556,4.031413067437969,3.706001920710758,2.9235135400667787,18.08733036663722,13.352858318077777,440.4967702831027,2337.192382219456,0.8061437760479748,0.7480337598229414,6
1651,2587,12.983099865382187,-12.983099865382187,-13.851790799707981,True,1.081962518076255,0.2503940837086416,0.768754606130637,0.2296452065497212,2.0,0.526029572920391,3.0881222280765774,2.672175115510087,3.58692113311634,21.872758964499514,13.318783723119235,365.37984544392316,2309.9106810986996,0.7205946876138517,0.5178235489875078,6
1652,1509,13.85553272703028,-13.85553272703028,-13.85553272703028,True,1.4329167219070722,0.3521693075007748,0.636198986147597,0.1246618451489076,3.0,0.43085063538481494,4.055003973612843,0.44386234383352097,2.9027475813592387,19.78968278504908,10.017121536601822,455.9419609915993,2446.196903065078,0.6267514544955921,0.7981583788711522,8
1653,1997,13.868976245597274,-13.868976245597274,-13.868976245597274,True,1.6657131215177476,0.23263633679598572,0.711581027135253,0.23203624634072184,3.0,0.13717950882464647,4.255109106575663,0.8510275208362952,2.1313229873776436,19.942489420063794,10.41631821672575,289.2014557495713,2523.9392947405577,0.5954605955630541,0.9766134712845087,8
1654,957,12.641740642410804,-12.641740642410804,-13.875861644064972,True,1.7979855949786363,0.2027475982280159,0.8700079462075333,0.21093119030520655,3.0,0.46883802175269607,4.805221039547022,3.844790686560155,2.873570945651171,15.679867040837374,11.851392387104491,419.6865216273867,2951.908440361801,0.9057253543942532,0.6033268859428842,6
1655,1960,13.88396217217236,-13.88396217217236,-13.88396217217236,True,1.0944072810533274,0.35953196175079244,0.7466818974488507,0.1293604491968265,2.0,0.3263619621276612,5.300975178053292,2.554166112008689,2.1935382264565675,24.09247898385688,13.207325692425085,368.87617587081274,2826.4288631700947,0.5684301580368956,0.7569378845730401,8
1656,1491,13.894046966471095,-13.894046966471095,-13.894046966471095,True,1.2105564117149492,0.29634064486013795,0.6709873069289094,0.22391155786870398,2.0,0.5113839122374892,6.20238704035999,5.034698357334179,3.25082954498997,18.255032503989494,10.420368303908019,449.67165437872427,2176.713729389973,0.7896026172942049,0.6637842864015621,8
1657,1218,13.906070435154831,-13.906070435154831,-13.906070435154831,True,1.8156826651545668,0.21780455488711598,0.6154996367098885,0.21651275587445246,0.0,0.3147795437323063,2.646889607416976,0.1274979641791294,3.378378378378378,20.463689382245295,14.582417032255119,366.50442108511925,1695.6538824902086,0.7956444818032684,0.6303243826288263,8
1658,950,13.916590067865982,-13.916590067865982,-13.916590067865982,True,1.8178504117991363,0.1699926512004687,0.4843785746660635,0.2556783404863128,1.0,0.4077200087344071,7.070694570683332,4.77858187429732,2.44519103281541,17.251998261713833,13.258549160398847,394.2885885739986,1498.2251295124372,0.6040316840469657,0.9148898850917829,6
1659,1154,13.928952784458648,-13.928952784458648,-13.928952784458648,True,0.9204539725072356,0.1380492790415883,0.44737586149401865,0.15224008608609438,0.0,0.40999693532287534,13.020175855439843,8.4702494084749,1.244471820537001,21.951593172558717,9.192147320334008,482.03083920759246,2357.483708595319,0.8069866715931135,0.9776285765692592,8
1660,60,13.949039452127,-13.949039452127,-13.958909655032283,True,1.8248525226733134,0.1941044257581234,0.5414543581171494,0.2518049997122131,5.0,0.4587017035248434,1.8394384987860404,1.4353873867790092,2.3139264924215937,19.580930679447196,9.50675252366057,363.0366979460285,2878.347926806291,0.7900847307215952,0.9402078283019364,8
1661,2750,13.970952973543211,-13.970952973543211,-13.970952973543211,True,1.4576688177276063,0.22796501903542024,0.7781905744404974,0.10904639847174906,1.0,0.2460811663794536,5.574143497493626,3.7235493851107035,2.9635959274371335,18.530270224482294,14.432757978014312,440.0882114478011,2245.4300375270946,0.9706776677523941,0.680945785054699,6
1662,2115,14.020731811105476,-14.020731811105476,-14.020731811105476,True,1.575837435766909,0.26260123938744706,0.6928205199047025,0.21685098245739937,1.0,0.45241788532917293,8.678003520884438,8.558215549538824,3.2648545997095226,20.61765424961049,9.49428266078328,442.27755442261696,2914.99058187256,0.8942367557694406,0.7396069424130446,8
1663,2051,14.021082854997928,-14.021082854997928,-14.021142857142857,True,0.9369386558048427,0.16633800021950546,0.6958993671514411,0.2914381744224127,0.0,0.4516163613736849,15.538161167517917,13.89674481558427,1.1895353062582983,15.745861385629723,10.083646560042807,478.46329328681884,2313.7426035188605,0.8010720702582599,0.5323259880365522,8
1664,1461,14.008652571068689,-14.008652571068689,-14.048152457100754,True,1.5359070219895725,0.3183132912376705,0.4511814105414163,0.2439266086011227,1.0,0.39871405720851566,11.93069504712072,5.56239361681186,2.7044116502939137,19.627150000918416,8.964807168357378,487.80420811524607,2244.2958542133374,0.7530142359093058,0.7196326456835094,8
1665,773,14.065208705614811,-14.065208705614811,-14.065208705614811,True,1.0788395560384478,0.27884115766783063,0.8299304772849581,0.22162495162665435,5.0,0.43347100913056824,3.2146784076741115,2.3526244464290293,1.818685602555575,18.258697269606905,12.951368950609863,477.0159325292356,2505.0851186332193,0.8042112685029419,0.7870562780444753,6
1666,2472,14.076438728901579,-14.076438728901579,-14.076438728901579,True,1.7116237165078805,0.3798249484226108,0.4039593732344876,0.27809283225353215,4.0,0.4819253532611235,2.8987209932287845,0.7442278526243307,3.851051552424288,20.959938471126947,15.485063401666743,317.52155591548245,2173.067877150323,0.60641871066764,0.8393264813639861,6
1667,802,14.091310717642846,-14.091310717642846,-14.091310717642846,True,1.0759622445613335,0.38354843894883905,0.741611366193316,0.12043051806274299,3.0,0.5829046070262789,3.1656616273311693,0.43458592982829103,3.066082067145107,15.508627807721496,11.718064627108507,471.95569611914425,1068.211866511963,0.773054747376591,0.5179436257849681,8
1668,2392,14.11117788976828,-14.11117788976828,-14.11117788976828,True,1.7283473787077992,0.38639895866878665,0.6488985355386063,0.19687106021747536,3.0,0.4908889128729702,0.8120575939255605,0.4065232781501784,2.2406658246181905,20.23048577364534,12.359131687068924,338.08421520516276,2026.2924127198223,0.5314855962060392,0.9185057484257464,6
