rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,1640,inf,-inf,-23.946034578764767,False,1.5636778541322482,0.34398673883599806,0.8875875031117415,0.24235273178374742,1.0,0.48036004038788077,0.1048439014693232,6.7084388219773174,0.528603930572551,2.381756370859613,10.012709750253604,4.0,599.4758146981607,2255.8654102791634,0.6393370862855692,0.8009905304461992
2,1560,inf,-inf,-26.758344455746748,False,1.8046694553306495,0.2777218374824951,0.49533941091236594,0.23665606499917188,0.0,0.4847038676642641,0.12291798661424966,10.22801312965587,1.3589378725535894,3.11037590255608,10.020556940146655,4.0,521.6301467647061,1516.8017232399557,0.9970401237985989,0.7752560255094695
3,2352,inf,-inf,-26.985245154728112,False,1.1735991214275419,0.28335120054128304,0.7137294576191912,0.17396158716632856,0.0,0.3177992186650178,0.1259665183056281,11.078428387713913,1.7477660901082857,2.0773527036684794,10.006127210351005,4.0,606.2947623353481,1790.9251270365444,0.9514144038079928,0.7955824508965065
4,671,inf,-inf,-27.95885714285714,False,1.1881084346768847,0.3101920815745519,0.41005692270214145,0.2684831422283802,1.0,0.44543487666812087,0.13660952860336922,8.592589165870876,2.608893183948389,2.11341129295575,10.001933819006382,4.0,544.9780831932009,1484.129237040379,0.9060301073690175,0.8014955007168608
5,443,inf,-inf,-28.5,False,1.2504774055826506,0.23651979734437095,0.7529282155075434,0.14924546923216758,0.0,0.5560780328026362,0.0927175964681726,18.272861341372398,8.920017311145699,2.3576263751259896,10.000454169953242,4.0,377.34606379930193,2405.3087553337355,0.7163031453649191,0.8483200608561045
6,878,inf,-inf,-28.5,False,0.9482862590883732,0.20606923454877313,0.7889176165478836,0.19264910878378297,0.0,0.27178167294178235,0.12571648813620437,19.800708176038803,5.400904895289408,1.0158588340243206,10.002851453557158,4.0,331.57456144983587,2780.172644666242,0.8642709213097222,0.9846257277730872
7,944,inf,-inf,-28.5,False,1.0088424543807186,0.19881640723262234,0.7631534054007736,0.14099640461641816,0.0,0.3572987405227225,0.12230140407422527,16.73559336697654,5.254956053787936,1.6590881089680791,10.000247994624775,4.0,537.4012087752728,2991.2373431476226,0.880249882909621,0.8595219000501961
8,1038,inf,-inf,-28.5,False,1.2999950693223146,0.28718944293774795,0.5716195238371372,0.10747792208128498,0.0,0.3484817609495224,0.13870902072663627,17.282839260142158,5.665758170600554,1.6290251549774117,10.007944143896221,4.0,240.61806886208038,1802.142740654356,0.7168916234309662,0.8427012042334611
9,1046,inf,-inf,-28.5,False,1.2946707421814059,0.25213281787631747,0.6032252760833878,0.10928852934822039,0.0,0.3898661040109673,0.12023654106377957,16.200419599989207,4.829416256679728,1.4601309352098961,10.000118051285074,4.0,528.5648389203129,1819.084243285437,0.5856336747291164,0.8274688710186456
10,1409,inf,-inf,-28.5,False,1.5781757166924621,0.2572680331680797,0.5879714508927675,0.11214192000511948,0.0,0.5487754234147034,0.10748212084573168,18.75713318987561,10.074839500463526,2.36167745522459,10.000750038974267,4.0,200.8750677635432,1189.5729711628678,0.6725941074370265,0.8803671234094657
