test_name,sample_index,prop_diameter_in,prop_pitch_in,battery_capacity_mah,battery_capacity_ah,battery_cells,battery_voltage_v,motor_kv,motor_max_current_a,motor_max_power_w,motor_no_load_current_a,motor_resistance_ohm,commanded_throttle,commanded_throttle_percent,estimated_rpm,measured_static_thrust_g,measured_static_thrust_n,predicted_static_thrust_n,correction_factor,model_calculated_throttle,model_current_a,model_power_w,model_voltage_required_v,model_voltage_sag_v,raw_load_cell_g,zero_throttle_baseline_g
15x6_4500_run1,44,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.38,38.0,4244.3671875,747.445,7.329932,9.5573195234375,0.7669443280644477,0.37904452732515537,11.189310537208645,246.23254897419838,8.341273559941492,22.006051950688384,1645.0,897.555
15x6_4500_run2,21,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.42,42.0,4701.0,179.61,1.761372,11.740480999999997,0.15002553983946657,0.4211869149560701,13.302887189872031,292.2566709503271,9.253230810422568,21.969416622042218,1077.99,898.38
15x6_4500_run2,22,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.46,46.0,5112.578125,433.88,4.254909,13.834436093750002,0.30755926523974797,0.45941238610624585,15.318269600781273,335.9983291555991,10.076973323227886,21.93448332691979,1332.26,898.38
15x6_4500_run2,23,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.51,51.0,5660.0,647.39,6.348727,17.06532,0.372025077760042,0.5108861143326114,18.388643985160353,402.36676452526825,11.178833688377951,21.88126350425722,1545.77,898.38
15x6_4500_run2,24,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.56,56.0,6163.5703125,811.73,7.960352,20.2274606875,0.39354183518049174,0.5586676774581213,21.391206208538772,466.9533269765861,12.19527913106739,21.829219092385326,1710.11,898.38
15x6_4500_run2,25,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.57,57.0,6300.0,949.8,9.314356,21.191200000000002,0.43953886518932384,0.5717712932593325,22.30499527502744,486.5473396591466,12.472264539785055,21.813380081899524,1848.18,898.38
15x6_4500_run2,26,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.63,63.0,6894.6953125,1153.56,11.312559,25.3921276875,0.4455144184537529,0.6291127591168847,26.28819046085942,571.6192996308345,13.679640494489135,21.74433803201177,2051.94,898.38
15x6_4500_run2,27,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.68,68.0,7397.34375,1459.39,14.311727,29.42322484375,0.4864091912426811,0.6784452805309686,30.10924549729559,652.7114278567442,14.707408985649037,21.67810641138021,2357.77,898.38
15x6_4500_run2,28,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.71,71.0,7717.0,1655.52,16.235105,32.067741,0.5062752939160885,0.7100753086041158,32.615802895074054,705.6317872301452,15.3622374617058,21.634659416485384,2553.9,898.38
15x6_4500_run2,29,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.8,80.0,8631.0,1854.93,18.190649,40.432525999999996,0.44990137395818414,0.8022716996084023,40.538790658882185,871.4756644603834,17.246697573619038,21.497327628579374,2753.31,898.38
15x6_4500_run2,30,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.93,93.0,9864.0,2606.65,25.562504,53.371736,0.4789520805543968,0.9308499106459323,52.76649758518438,1123.154989756034,19.81349473059372,21.28538070852347,3505.03,898.38
15x6_4500_run2,31,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.99,99.0,10413.0,3115.61,30.553697,59.957027999999994,0.5095932540218638,0.9902351583266898,59.04643657995526,1250.3985430799685,20.969742985279282,21.17652843261411,4013.99,898.38
